BDPONO_PurchaseOrderNumber,BDVNDR_VendorCode,VNAME_VendorName,BDRECD_RecordFlag,BDITEM_ItemNumber,BDCRTD_CreationDate,BDRPDATE_RequiredDate,BDOQOO_QuantityOrdered,BDIUOM_UnitOfMeasure,BDCQOO_ConfirmedQuantity,BDOOQ_OtherOrderedQuantity,BDTIQR_TimeInQueue,BDPOCDATE_PurchaseOrderDate,BDRCCDATE_ReceiptConfirmationDate
515204,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52017,15.000 11.500 1.750 HF 4130M 125KS+,20230331,320.000,"FT ",0.000,80000.000,344.083,20220729,20230515
514473,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52017,15.000 11.500 1.750 HF 4130M 125KS+,20221215,320.000,"FT ",0.000,80000.000,403.333,20220422,20230206
514078,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52017,15.000 11.500 1.750 HF 4130M 125KS+,20221031,321.333,"FT ",0.000,80000.000,352.417,20220317,20230111
514459,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52019,5.750 3.500 1.125 HF 4140 125KSI QT,20230130,2160.000,"FT ",0.000,120000.000,2299.751,20220422,20230412
514221,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52019,5.750 3.500 1.125 HF 4140 125KSI QT,20221230,1440.000,"FT ",0.000,80000.000,1602.918,20220330,20230118
514069,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52019,5.750 3.500 1.125 HF 4140 125 KSI Q,20220930,1446.000,"FT ",0.000,80000.000,1636.501,20220316,20221005
514702,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52020,5.750 3.750 1.000 HF 4140 125KSI QT,20230130,780.000,"FT ",0.000,40000.000,826.334,20220513,20230302
514070,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52020,5.750 3.750 1.000 HF 4140 125 KSI Q,20220930,2369.833,"FT ",0.000,120000.000,2406.501,20220316,20221212
514706,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52021,7.250 4.500 1.375 HF 4140 125KSI QT,20221129,480.000,"FT ",0.000,41848.000,483.917,20220513,20221212
514072,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52021,7.250 4.500 1.375 HF 4140 125 KSI Q,20221031,461.917,"FT ",0.000,40000.000,492.000,20220316,20221216
514073,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52022,7.250 4.750 1.250 HF 4140 125 KSI Q,20221031,502.083,"FT ",0.000,40000.000,577.249,20220316,20221215
514074,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52023,8.500 6.250 1.125 HF 4140 125 KSI Q,20221031,441.833,"FT ",0.000,40000.000,523.583,20220316,20221220
