BDPONO_PurchaseOrderNumber,BDVNDR_VendorCode,VNAME_VendorName,BDRECD_RecordFlag,BDITEM_ItemNumber,BDCRTD_CreationDate,BDRPDATE_RequiredDate,BDOQOO_QuantityOrdered,BDIUOM_UnitOfMeasure,BDCQOO_ConfirmedQuantity,BDOOQ_OtherOrderedQuantity,BDTIQR_TimeInQueue,BDPOCDATE_PurchaseOrderDate,BDRCCDATE_ReceiptConfirmationDate
513538,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51876,"11.000 5.750 2.625 HF 4140 AR++    ",20220731,340.000,"FT ",0.000,80000.000,352.667,20220111,20221024
515151,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51877,11.500 8.000 1.750 HF 4140 125KSI Q,20230331,220.000,"FT ",0.000,40000.000,218.833,20220719,20230421
514471,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51877,"11.500 8.000 1.750 HF 4140 125KSI  ",20230130,220.000,"FT ",0.000,40000.000,232.250,20220422,20230314
516087,247,"MAGELLAN CORPORATION               ",C,51883,"10.500 BAR HF 4340  ANN            ",20230317,140.583,"FT ",0.000,40000.000,135.917,20230315,20230320
516068,130,"METALLUS                           ",C,51883,"10.500 BAR HF 4340  ANN            ",20230925,60.250,"FT ",0.000,20000.000,75.083,20230309,20231020
515973,247,"MAGELLAN CORPORATION               ",C,51883,"10.500 BAR HF 4340  ANN            ",20230222,60.250,"FT ",0.000,18000.000,58.583,20230215,20230221
514754,247,"MAGELLAN CORPORATION               ",C,51883,"10.500 BAR HF 4340  ANN            ",20220831,60.250,"FT ",0.000,20000.000,63.500,20220519,20220715
514109,247,"MAGELLAN CORPORATION               ",C,51883,"10.500 BAR HF 4340  ANN            ",20220729,60.250,"FT ",0.000,20000.000,66.583,20220321,20220705
514231,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51886,7.000 4.000 1.500 HF 4140 125K QT++,20221107,460.000,"FT ",0.000,40000.000,512.334,20220330,20221209
518734,130,"METALLUS                           ",A,51887,9.500 6.250 1.625 HF 4140 125KSI QT,20250602,141.167,"FT ",141.167,20000.000,0.000,20250226,0
518101,474,"ARTROM STEEL TUBES SA              ",C,51887,9.500 6.250 1.625 HF 4140 125KSI QT,20241231,141.167,"FT ",0.000,20000.000,152.667,20240926,20241220
516802,474,"ARTROM STEEL TUBES SA              ",C,51887,9.500 6.250 1.625 HF 4140 125KSI QT,20240313,160.000,"FT ",0.000,22046.000,173.333,20231018,20240314
516055,766,"O'BRIEN STEEL SERVICE CO           ",C,51887,"9.500 6.250 1.625 HF 4140 P110 QT  ",20230331,40.167,"FT ",0.000,5500.000,41.833,20230307,20230320
515777,474,"ARTROM STEEL TUBES SA              ",C,51887,9.500 6.250 1.625 HF 4140 125KSI QT,20230630,160.667,"FT ",0.000,22046.000,187.001,20221220,20230630
