IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AB02.125-00.000 CF 4130 110-140 QT                                    ",52592,2.1250,0.0000,0.0000,"CF 4130 110-140 QT            ",12.057,30.2600,106.167,0.000,0.000,"2.125 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.125-00.000 HF 4140  NQT 344/388                                  ",51304,2.1250,0.0000,0.0000,"HF  4140  NQT 344/388         ",12.057,0.0000,0.000,0.000,0.000,"2.125 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.125-00.000 HF 4140 110 KSI QT                                    ",51295,2.1250,0.0000,0.0000,"HF  4140 110 KSI QT           ",12.057,13.1178,0.000,0.000,0.000,"2.125 ROUND BAR               ",PLI,"STB20                              "
"AB02.250-00.000 HF 4130 80KSI QT                                      ",50786,2.2500,0.0000,0.0000,"HF 4130 80KSI QT              ",13.517,16.8011,0.000,0.000,0.000,"2.250 ROUND BAR               ",PLI,"STB18                              "
"AB02.250-00.000 HF 4140 110KSI QT                                     ",50583,2.2500,0.0000,0.0000,"HF 4140 110KSI QT             ",13.517,13.5783,190.915,748.000,28.833,"2.250 ROUND BAR               ",PLI,"STB20                              "
"AB02.250-00.000 HF 4140 80 KSI QT                                     ",52515,2.2500,0.0000,0.0000,"HF 4140 80 KSI QT             ",13.517,15.0202,748.415,0.000,0.000,"2.250 ROUND BAR               ",PLI,"STB22                              "
"AB02.250-00.000 HF 4340 130 KSI QT                                    ",51222,2.2500,0.0000,0.0000,"HF  4340 130 KSI QT           ",13.517,12.5455,0.000,0.000,0.000,"2.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.250-00.000 HF 8620  AR                                           ",52003,2.2500,0.0000,0.0000,"HF 8620  AR..                 ",13.517,15.2117,960.750,0.000,0.000,"2.250 ROUND BAR               ",PLI,"STB15                              "
"AB02.500-00.000 HF 4130 80KSI QT                                      ",50939,2.5000,0.0000,0.0000,"HF 4130 80KSI QT              ",16.688,18.8868,800.417,0.000,2.760,"2.500 ROUND BAR               ",PLI,"STB18                              "
"AB02.500-00.000 HF 4130 AR                                            ",52535,2.5000,0.0000,0.0000,"HF 4130 AR                    ",16.688,0.0000,0.000,0.000,0.000,"2.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.500-00.000 HF 4140  ANN                                          ",51475,2.5000,0.0000,0.0000,"HF 4140  ANN                  ",16.688,0.0000,0.000,0.000,0.000,"2.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.500-00.000 HF 4140 110KSI NQT                                    ",50407,2.5000,0.0000,0.0000,"HF 4140 110KSI NQT            ",16.688,17.2309,657.170,0.000,3.375,"2.500 ROUND BAR               ",PLI,"STB20                              "
