OORECD_RecordFlag,ODTYPE_OrderType,ODITEM_ItemCode,ODORDR_OrderNumber,OOCUST_CustomerID,CALPHA_CustomerName,ODTLBS_TotalLbs,ODTFTS_TotalFeet,ORDER_DATE_TransactionDate,SALES_REP_ID_SalesmanCode
A,A,52357,967991,753,"HALLIBURTON SINGAPORE              ",2034.836,10.781,20250219,199
A,A,52357,967993,753,"HALLIBURTON SINGAPORE              ",2034.836,10.781,20250219,199
A,A,52357,967994,753,"HALLIBURTON SINGAPORE              ",2034.836,10.781,20250219,199
A,A,52357,967996,753,"HALLIBURTON SINGAPORE              ",2034.836,10.781,20250219,199
A,A,52357,968065,1029,"ENERGY ALLOYS PTE LTD              ",2524.376,13.375,20250220,199
A,A,52393,952321,753,"HALLIBURTON SINGAPORE              ",16.521,0.688,20240423,199
A,A,52400,969940,1045,"HALLIBURTON MFG AND SERV LTD       ",443.142,2.588,20250327,101
A,A,52443,936194,1307,"BIW CONNECTOR SYSTEMS              ",10012.648,1000.000,20230615,199
A,A,52451,969901,235,"RYERSON                            ",321.031,5.938,20250327,199
A,A,52452,968959,907,"BAKER HUGHES                       ",28.254,0.896,20250310,110
A,A,52452,968960,907,"BAKER HUGHES                       ",27.103,0.859,20250310,110
A,A,52521,968868,157,"NORQUEST INDUSTRIES INC            ",992.845,43.542,20250307,120
A,A,52530,969141,131,"CNC MANUFACTURING                  ",1139.125,8.333,20250312,110
A,A,52530,969650,179,"LIBERTY PRECISION COMPANY LLC      ",680.141,2.833,20250321,110
A,A,52582,969719,798,"SMITH INTERNATIONAL INC            ",16026.913,10.000,20250324,157
A,A,52583,969012,517,"NATIONAL OILWELL U.S. AFTER MARKET ",141.345,20.167,20250311,110
A,A,52591,969011,1366,"BAKER HUGHES SINGAPORE PTE         ",466.874,3.805,20250311,199
A,A,52591,968927,1368,"CDI ENERGY PRODUCTS PTE LTD        ",4093.825,33.367,20250310,199
A,A,52628,969850,1366,"BAKER HUGHES SINGAPORE PTE         ",911.439,2.500,20250326,199
A,A,52632,968964,753,"HALLIBURTON SINGAPORE              ",22.598,1.354,20250310,199
A,A,52636,969896,227,"FAITH MANUFACTURING CO INC         ",29.370,0.688,20250327,110
A,A,52636,969963,828,"OEM MACHINING LLC                  ",14.240,0.333,20250328,157
A,A,52643,958909,1307,"BIW CONNECTOR SYSTEMS              ",4993.808,525.000,20240828,199
A,A,52644,958908,1307,"BIW CONNECTOR SYSTEMS              ",5031.356,670.000,20240828,199
A,A,52703,965257,213,"TEXAS HONING INC                   ",6850.654,77.750,20241223,110
A,A,52716,968209,189,"HALLIBURTON ENERGY SERVICES        ",90.114,2.813,20250224,106
A,A,52716,965916,189,"HALLIBURTON ENERGY SERVICES        ",14778.669,461.250,20250109,106
A,A,52723,969769,189,"HALLIBURTON ENERGY SERVICES        ",1081.366,20.000,20250325,106
A,A,52726,966668,1163,"SIGMAHLR                           ",425.538,2.833,20250127,157
A,A,52734,967362,189,"HALLIBURTON ENERGY SERVICES        ",701.720,20.000,20250206,106
A,A,52739,969888,286,"OLYMPIAN MACHINE LLC               ",20.192,4.000,20250327,109
A,A,52739,969999,381,"BLUELINE MANUFACTURING LLC         ",23.558,4.667,20250328,109
A,A,52739,969996,381,"BLUELINE MANUFACTURING LLC         ",55.739,11.042,20250328,109
A,A,52744,968853,131,"CNC MANUFACTURING                  ",2386.619,6.313,20250306,110
A,A,52746,968881,131,"CNC MANUFACTURING                  ",10968.936,20.563,20250307,110
A,A,52751,969878,157,"NORQUEST INDUSTRIES INC            ",12962.469,283.750,20250326,120
A,C,BOBAR,826854,381,"BLUELINE MANUFACTURING LLC         ",1125.002,6.590,20170623,109
A,C,BTUBE,834633,403,"CAMERON                            ",12050.999,1729.602,20180123,109
A,C,BTUBE,834634,403,"CAMERON                            ",213.603,80.000,20180123,109
A,A,"MISC ",811940,264,"WEATHERFORD CANADA LTD             ",1.000,0.000,20151223,199
