ITITEM_ItemNumber,ITTAG_TagNumber,ITTDES_TagDescription,ITLNTH_LengthFeet,ITTPCS_NumberOfPieces,ITHEAT_HeatNumber,ITV301_VendorOrBatchCode,ITLOCT_StorageLocation,ITTQTY_TotalQuantity,ITRQTY_ReservedQuantity,IMFSP2_ItemFamilyGroup
50009," 327917","7.000 BAR HF 8630 AR               ",69.0000,1.000,"X8400          ","NA                            ","1SB26  ",5.750,0.000,"AB07.000-00.000 HF 8630 AR                                            "
50010," 340802","7.000 BAR HF 4130 M7 AR            ",278.0000,4.000,"T2215          ","NA                            ","10S8   ",92.667,0.000,"AB07.000-00.000 HF 4130 M7 AR                                         "
50010," 340803","7.000 BAR HF 4130 M7 AR            ",280.0000,3.000,"T2215          ","NA                            ","10S8   ",70.000,0.000,"AB07.000-00.000 HF 4130 M7 AR                                         "
50010," 340804","7.000 BAR HF 4130 M7 AR            ",281.0000,1.000,"T2215          ","NA                            ","10S8   ",23.417,0.000,"AB07.000-00.000 HF 4130 M7 AR                                         "
50010," 315636","7.000 BAR HF 4130 M7 AR            ",142.0000,1.000,"X4242          ","NA                            ",1956125,11.834,11.834,"AB07.000-00.000 HF 4130 M7 AR                                         "
50010," 325483","7.000 BAR HF 4130 M7 AR            ",149.0000,1.000,"X4242          ","NA                            ","10S8   ",12.417,0.000,"AB07.000-00.000 HF 4130 M7 AR                                         "
50010," 281925","7.000 BAR HF 4130 M7 AR            ",261.0000,1.000,"X4242          ","NA                            ","10S8   ",21.750,0.000,"AB07.000-00.000 HF 4130 M7 AR                                         "
50010," 282653","7.000 BAR HF 4130 M7 AR            ",263.0000,1.000,"X4242          ","NA                            ","10S8   ",21.916,0.000,"AB07.000-00.000 HF 4130 M7 AR                                         "
50010," 282314","7.000 BAR HF 4130 M7 AR            ",264.0000,1.000,"X4242          ","NA                            ","10S8   ",22.000,0.000,"AB07.000-00.000 HF 4130 M7 AR                                         "
50013," 340864","3.500 2.250 .625 HF 4140 125KSI QT ",172.0000,1.000,"T1106          ","2350468                       ","15S4   ",14.333,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 339487","3.500 2.250 .625 HF 4140 125KSI QT ",184.0000,1.000,"T1106          ","2350468                       ","15S4   ",15.333,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338567","3.500 2.250 .625 HF 4140 125KSI QT ",283.0000,1.000,"T1106          ","2350468                       ","15S4   ",23.583,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338571","3.500 2.250 .625 HF 4140 125KSI QT ",288.0000,1.000,"T1106          ","2350468                       ","15S4   ",24.000,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338584","3.500 2.250 .625 HF 4140 125KSI QT ",291.0000,1.000,"T1106          ","2350468                       ","15S4   ",24.250,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338565","3.500 2.250 .625 HF 4140 125KSI QT ",292.0000,1.000,"T1106          ","2350468                       ","15S4   ",24.333,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338585","3.500 2.250 .625 HF 4140 125KSI QT ",293.0000,1.000,"T1106          ","2350468                       ","15S4   ",24.417,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338559","3.500 2.250 .625 HF 4140 125KSI QT ",294.0000,2.000,"T1106          ","2350468                       ","15S4   ",49.000,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338579","3.500 2.250 .625 HF 4140 125KSI QT ",299.0000,1.000,"T1106          ","2350468                       ","15S4   ",24.917,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338578","3.500 2.250 .625 HF 4140 125KSI QT ",301.0000,1.000,"T1106          ","2350468                       ","15S4   ",25.083,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338573","3.500 2.250 .625 HF 4140 125KSI QT ",303.0000,3.000,"T1106          ","2350468                       ","15S4   ",75.750,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338562","3.500 2.250 .625 HF 4140 125KSI QT ",304.0000,5.000,"T1106          ","2350468                       ","15S4   ",126.667,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338577","3.500 2.250 .625 HF 4140 125KSI QT ",305.0000,1.000,"T1106          ","2350468                       ","15S4   ",25.416,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338566","3.500 2.250 .625 HF 4140 125KSI QT ",306.0000,3.000,"T1106          ","2350468                       ","15S4   ",76.500,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338576","3.500 2.250 .625 HF 4140 125KSI QT ",307.0000,1.000,"T1106          ","2350468                       ","15S4   ",25.583,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338561","3.500 2.250 .625 HF 4140 125KSI QT ",308.0000,4.000,"T1106          ","2350468                       ","15S4   ",102.667,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338560","3.500 2.250 .625 HF 4140 125KSI QT ",309.0000,7.000,"T1106          ","2350468                       ","15S4   ",180.250,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338574","3.500 2.250 .625 HF 4140 125KSI QT ",310.0000,4.000,"T1106          ","2350468                       ","15S4   ",103.334,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338569","3.500 2.250 .625 HF 4140 125KSI QT ",311.0000,12.000,"T1106          ","2350468                       ","15S4   ",311.000,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338580","3.500 2.250 .625 HF 4140 125KSI QT ",312.0000,2.000,"T1106          ","2350468                       ","15S4   ",52.000,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338563","3.500 2.250 .625 HF 4140 125KSI QT ",313.0000,9.000,"T1106          ","2350468                       ","15S4   ",234.750,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338575","3.500 2.250 .625 HF 4140 125KSI QT ",314.0000,7.000,"T1106          ","2350468                       ","15S4   ",183.166,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338572","3.500 2.250 .625 HF 4140 125KSI QT ",315.0000,6.000,"T1106          ","2350468                       ","15S4   ",157.500,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50013," 338564","3.500 2.250 .625 HF 4140 125KSI QT ",316.0000,5.000,"T1106          ","2350468                       ","15S4   ",131.667,0.000,"AT03.500-02.250 HF 4140 125KSI QT                                     "
50014," 109926","8.000 BAR HF 8630 AR               ",27.0000,1.000,"22165434       ","NA                            ","2SB2   ",2.250,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 104540","8.000 BAR HF 8630 AR               ",47.0000,1.000,"22165434       ","NA                            ","2SB19  ",3.917,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014,"  41165","8.000 BAR HF 8630 AR               ",39.0000,1.000,"22165443       ","NA                            ","2SB19  ",3.250,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014,"   7208","8.000 BAR HF 8630 AR               ",50.0000,1.000,"22165443       ","NA                            ","2SB19  ",4.167,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 288024","8.000 BAR HF 8630 AR               ",115.0000,1.000,"30170          ","NA                            ","2SB53  ",9.583,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 212260","8.000 BAR HF 8630 AR               ",26.0000,1.000,"30171          ","NA                            ","2SB4   ",2.167,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 211025","8.000 BAR HF 8630 AR               ",30.0000,1.000,"30171          ","NA                            ","1SB7   ",2.500,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 257102","8.000 BAR HF 8630 AR               ",54.0000,1.000,"30171          ","NA                            ","2SB20  ",4.500,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 285126","8.000 BAR HF 8630 AR               ",25.0000,1.000,"L9632          ","NA                            ","2SB6   ",2.083,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 325447","8.000 BAR HF 8630 AR               ",21.0000,1.000,"NA             ","W4421                         ","RY     ",1.750,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 136187","8.000 BAR HF 8630 AR               ",43.0000,1.000,"W4421          ","NA                            ","2SB19  ",3.584,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 151658","8.000 BAR HF 8630 AR               ",29.0000,1.000,"W6008          ","NA                            ","2SB5   ",2.417,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 140949","8.000 BAR HF 8630 AR               ",36.0000,1.000,"W6008          ","NA                            ","2SB5   ",3.000,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 205211","8.000 BAR HF 8630 AR               ",58.0000,1.000,"W6008          ","NA                            ","2SB29  ",4.833,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 205909","8.000 BAR HF 8630 AR               ",58.0000,1.000,"W8348+         ","2201092                       ","2SB25  ",4.833,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 340756","8.000 BAR HF 8630 AR               ",86.0000,1.000,"X6696          ","NA                            ","2SB42  ",7.167,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 320192","8.000 BAR HF 8630 AR               ",101.0000,1.000,"X6696          ","NA                            ","2SB43  ",8.417,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 311154","8.000 BAR HF 8630 AR               ",289.0000,1.000,"X6696          ","NA                            ","14S11  ",24.083,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 311149","8.000 BAR HF 8630 AR               ",262.0000,1.000,"X8400          ","NA                            ","14S11  ",21.833,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 311150","8.000 BAR HF 8630 AR               ",283.0000,1.000,"X8400          ","NA                            ","14S11  ",23.584,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 311151","8.000 BAR HF 8630 AR               ",287.0000,1.000,"X8400          ","NA                            ","14S11  ",23.917,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 311152","8.000 BAR HF 8630 AR               ",288.0000,3.000,"X8400          ","NA                            ","14S11  ",72.000,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 311156","8.000 BAR HF 8630 AR               ",290.0000,1.000,"X8400          ","NA                            ","14S11  ",24.167,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50014," 311730","8.000 BAR HF 8630 AR               ",290.0000,1.000,"X8400          ","NA                            ","14S11  ",24.167,0.000,"AB08.000-00.000 HF 8630 AR                                            "
50015," 335372","8.000 BAR HF 4130 M7 AR            ",16.0000,1.000,"T0025          ","NA                            ","RY     ",1.333,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 338523","8.000 BAR HF 4130 M7 AR            ",52.0000,1.000,"T0025          ","NA                            ","2SB22  ",4.333,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 335371","8.000 BAR HF 4130 M7 AR            ",64.0000,1.000,"T0025          ","NA                            ","1SB27  ",5.333,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 338519","8.000 BAR HF 4130 M7 AR            ",83.0000,1.000,"T0025          ","NA                            ","2SB39  ",6.917,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 338521","8.000 BAR HF 4130 M7 AR            ",258.0000,1.000,"T0025          ","NA                            ","17S8   ",21.500,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 309227","8.000 BAR HF 4130 M7 AR            ",29.0000,1.000,"X7357          ","NA                            ","2SB12  ",2.417,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 309174","8.000 BAR HF 4130 M7 AR            ",30.0000,1.000,"X7357          ","NA                            ","2SB14  ",2.500,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 318280","8.000 BAR HF 4130 M7 AR            ",30.0000,1.000,"X7357          ","NA                            ","2SB9   ",2.500,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 326063","8.000 BAR HF 4130 M7 AR            ",47.0000,1.000,"X7357          ","NA                            ","2SB22  ",3.917,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 274969","8.000 BAR HF 4130 M7 AR            ",21.0000,1.000,"Y8705          ","NA                            ","RY     ",1.750,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 284100","8.000 BAR HF 4130 M7 AR            ",28.0000,1.000,"Y9831          ","NA                            ","2SB11  ",2.333,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 317744","8.000 BAR HF 4130 M7 AR            ",35.0000,1.000,"Y9831          ","NA                            ","2SB6   ",2.917,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 317748","8.000 BAR HF 4130 M7 AR            ",38.0000,1.000,"Y9831          ","NA                            ","2SB19  ",3.167,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 317746","8.000 BAR HF 4130 M7 AR            ",39.0000,1.000,"Y9831          ","NA                            ","2SB19  ",3.250,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 292890","8.000 BAR HF 4130 M7 AR            ",83.0000,1.000,"Y9831          ","NA                            ","2SB36  ",6.917,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50015," 304463","8.000 BAR HF 4130 M7 AR            ",118.0000,1.000,"Y9831          ","NA                            ","1SB38  ",9.833,0.000,"AB08.000-00.000 HF 4130 M7 AR                                         "
50017," 325907","9.000 BAR HF 8630 AR               ",24.0000,1.000,"31673          ","NA                            ","2SB12  ",2.000,0.000,"AB09.000-00.000 HF 8630 AR                                            "
50017," 337662","9.000 BAR HF 8630 AR               ",56.0000,1.000,"31673          ","NA                            ","2SB26  ",4.667,0.000,"AB09.000-00.000 HF 8630 AR                                            "
50017," 124784","9.000 BAR HF 8630 AR               ",7.0000,1.000,"L9632          ","468294                        ","1S1    ",0.583,0.000,"AB09.000-00.000 HF 8630 AR                                            "
50017," 331404","9.000 BAR HF 8630 AR               ",247.0000,1.000,"X6696          ","NA                            ","19S10  ",20.583,0.000,"AB09.000-00.000 HF 8630 AR                                            "
50017," 299923","9.000 BAR HF 8630 AR               ",338.0000,2.000,"X6696          ","NA                            ","19S10  ",56.333,0.000,"AB09.000-00.000 HF 8630 AR                                            "
50017," 299922","9.000 BAR HF 8630 AR               ",339.0000,3.000,"X6696          ","NA                            ","19S10  ",84.750,0.000,"AB09.000-00.000 HF 8630 AR                                            "
50018," 339608","9.000 BAR HF 4130M7 ANN            ",36.0000,2.000,"T0189          ","NA                            ","2SB2   ",6.000,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 324249","9.000 BAR HF 4130M7 ANN            ",277.0000,1.000,"T0189          ","NA                            ","16S9   ",23.083,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 323263","9.000 BAR HF 4130M7 ANN            ",337.0000,2.000,"T0189          ","NA                            ","16S9   ",56.167,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 323264","9.000 BAR HF 4130M7 ANN            ",338.0000,2.000,"T0189          ","NA                            ","16S9   ",56.333,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 324248","9.000 BAR HF 4130M7 ANN            ",338.0000,1.000,"T0189          ","NA                            ","16S9   ",28.167,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 328515","9.000 BAR HF 4130M7 ANN            ",13.0000,1.000,"X3669          ","NA                            ","RY     ",1.083,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 283415","9.000 BAR HF 4130M7 ANN            ",17.0000,1.000,"X3669          ","NA                            ","RY     ",1.416,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 309862","9.000 BAR HF 4130M7 ANN            ",16.0000,1.000,"X4884          ","NA                            ","RY     ",1.333,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 309864","9.000 BAR HF 4130M7 ANN            ",19.0000,1.000,"X4884          ","NA                            ","RY     ",1.583,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 297348","9.000 BAR HF 4130M7 ANN            ",19.0000,1.000,"X4884          ","NA                            ","RY     ",1.583,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 309530","9.000 BAR HF 4130M7 ANN            ",20.0000,1.000,"X4884          ","NA                            ","RY     ",1.667,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 341140","9.000 BAR HF 4130M7 ANN            ",21.0000,1.000,"X6416          ","NA                            ","RY     ",1.750,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 310857","9.000 BAR HF 4130M7 ANN            ",226.0000,1.000,"X6416          ","NA                            ","16S9   ",18.833,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 295089","9.000 BAR HF 4130M7 ANN            ",304.0000,1.000,"X6416          ","NA                            ","16S9   ",25.333,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50018," 294420","9.000 BAR HF 4130M7 ANN            ",317.0000,1.000,"X6416          ","NA                            ","16S9   ",26.416,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
