QueryName,Order_districtPlusTransaction,Salesman_Name_____SMNAME,Order_Type_____OOTYPE,Customer_DistrictPlusCustomer,Customer_Alpha_Name_____CALPHA,InvoiceDate_OOI,ITEM_NUMBER_____ODITEM,Ship_To_Vendor_#_____BSSVEN,Multiple_SPO_____BSSPS#
"Sales analysis, SPO",1951560,BEN HILTON     ,A,100381,BLUELINE MANUFACTURING LLC         ,20240424,51200,121.0,1.0
"Sales analysis, SPO",1951560,BEN HILTON     ,A,100381,BLUELINE MANUFACTURING LLC         ,20240424,51200,119.0,2.0
"Sales analysis, SPO",1951561,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240412,50180,465.0,1.0
"Sales analysis, SPO",1951570,SHAWN REYES    ,A,100783,OEM COMPONENTS INC                 ,20240422,50098,121.0,1.0
"Sales analysis, SPO",1951570,SHAWN REYES    ,A,100783,OEM COMPONENTS INC                 ,20240422,50098,119.0,2.0
"Sales analysis, SPO",1951572,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,51145,465.0,1.0
"Sales analysis, SPO",1951572,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,51145,121.0,2.0
"Sales analysis, SPO",1951572,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,51145,119.0,3.0
"Sales analysis, SPO",1951582,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240417,52021,218.0,1.0
"Sales analysis, SPO",1951584,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,50733,465.0,1.0
"Sales analysis, SPO",1951584,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,50733,121.0,2.0
"Sales analysis, SPO",1951584,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,50733,119.0,3.0
"Sales analysis, SPO",1951586,MONTY BERGERON ,A,101220,BEACON MACHINE SERVICES LLC        ,20240416,51102,168.0,1.0
"Sales analysis, SPO",1951610,MURRAY KAMMERER,A,101012,ALTA TUBE AND BAR INC              ,20240419,50426,139.0,1.0
"Sales analysis, SPO",1951615,BEN HILTON     ,A,101268,3D MANUFACTURING INC               ,20240419,50361,218.0,1.0
"Sales analysis, SPO",1951616,BEN HILTON     ,A,101268,3D MANUFACTURING INC               ,20240419,52145,119.0,1.0
"Sales analysis, SPO",1951616,BEN HILTON     ,A,101268,3D MANUFACTURING INC               ,20240419,52145,168.0,2.0
"Sales analysis, SPO",1951642,DAVID POPHAM   ,A,100981,OD INSPECTIONS INC                 ,20240418,51930,168.0,1.0
"Sales analysis, SPO",1951643,DARREL THORMER ,A,100576,REACTIVE DOWNHOLE TOOLS USA INC    ,20240415,50162,168.0,1.0
"Sales analysis, SPO",1951645,DAVID POPHAM   ,A,100176,ALLAMON TOOL COMPANY INC           ,20240423,50577,465.0,1.0
"Sales analysis, SPO",1951647,SHAWN REYES    ,A,100828,OEM MACHINING LLC                  ,20240422,52005,139.0,1.0
"Sales analysis, SPO",1951649,CHRIS SITKA    ,A,101204,EARLE M JORGENSEN COMPANY          ,20240412,50991,473.0,1.0
"Sales analysis, SPO",1951655,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240419,52187,465.0,1.0
"Sales analysis, SPO",1951655,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240419,52187,121.0,2.0
"Sales analysis, SPO",1951655,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240419,52187,307.0,3.0
"Sales analysis, SPO",1951655,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240419,52187,119.0,4.0
"Sales analysis, SPO",1951656,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240425,50564,121.0,1.0
"Sales analysis, SPO",1951656,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240425,50564,119.0,2.0
"Sales analysis, SPO",1951659,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240425,50147,684.0,1.0
"Sales analysis, SPO",1951659,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240425,50147,465.0,2.0
"Sales analysis, SPO",1951660,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240507,50146,684.0,1.0
"Sales analysis, SPO",1951660,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240507,50146,168.0,2.0
"Sales analysis, SPO",1951662,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,50856,684.0,1.0
"Sales analysis, SPO",1951662,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,50856,465.0,2.0
"Sales analysis, SPO",1951669,CHRIS SITKA    ,A,100907,BAKER HUGHES                       ,20240412,52389,119.0,1.0
"Sales analysis, SPO",1951676,MONTY BERGERON ,A,100486,TOMAHAWK DOWNHOLE LLC              ,20240423,51104,139.0,1.0
"Sales analysis, SPO",1951684,DAVID POPHAM   ,A,100227,FAITH MANUFACTURING CO INC         ,20240419,50407,121.0,1.0
"Sales analysis, SPO",1951687,MURRAY KAMMERER,A,100157,NORQUEST INDUSTRIES INC            ,20240503,52060,465.0,1.0
"Sales analysis, SPO",1951692,CHRIS SITKA    ,A,100736,W74 OIL TOOLS                      ,20240419,50340,168.0,1.0
"Sales analysis, SPO",1951693,SHAWN REYES    ,A,101033,KNUST-GODWIN LLC                   ,20240506,51183,121.0,3.0
"Sales analysis, SPO",1951693,SHAWN REYES    ,A,101033,KNUST-GODWIN LLC                   ,20240506,51183,119.0,4.0
"Sales analysis, SPO",1951693,SHAWN REYES    ,A,101033,KNUST-GODWIN LLC                   ,20240506,51183,139.0,1.0
"Sales analysis, SPO",1951694,CHRIS SITKA    ,A,100736,W74 OIL TOOLS                      ,20240419,50340,168.0,1.0
"Sales analysis, SPO",1951705,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240507,50515,465.0,1.0
"Sales analysis, SPO",1951705,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240507,50515,121.0,2.0
"Sales analysis, SPO",1951705,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240507,50515,119.0,3.0
"Sales analysis, SPO",1951707,BEN HILTON     ,A,101008,RAM ALLOYS LLC                     ,20240419,51721,121.0,1.0
"Sales analysis, SPO",1951708,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240509,51590,180.0,1.0
"Sales analysis, SPO",1951708,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240509,51590,121.0,2.0
"Sales analysis, SPO",1951708,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240509,51590,119.0,3.0
"Sales analysis, SPO",1951712,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240417,50318,119.0,1.0
"Sales analysis, SPO",1951714,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240517,51977,307.0,1.0
"Sales analysis, SPO",1951714,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240517,51977,119.0,2.0
"Sales analysis, SPO",1951735,DAVID POPHAM   ,A,100605,TRIPLE J COIL TUBING PRODUCTS LLC  ,20240415,50376,119.0,1.0
"Sales analysis, SPO",1951747,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240419,50318,119.0,1.0
"Sales analysis, SPO",1951748,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240418,51527,180.0,1.0
"Sales analysis, SPO",1951751,DAVID POPHAM   ,A,100636,AEROLIFT MACHINE LLC               ,20240419,50159,465.0,1.0
"Sales analysis, SPO",1951758,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240430,51857,684.0,1.0
