SchemaName,TableName,ColumnName,ColumnCode,PropertyValue,IsPrimaryKey,ValuesMatchPK,MinDistinctValue,MaxDistinctValue,,,,
mrs,z_Customer_Parent_File_____CUSTPARN,YTD_No_of_Orders_____CPYORD,CPYORD,YTD_No_of_Orders_____CPYORD,No,Yes,0,67,,18,,"SELECT '18', 'z_Customer_Parent_File_____CUSTPARN', * FROM [mrs].[z_Customer_Parent_File_____CUSTPARN] WHERE [YTD_No_of_Orders_____CPYORD] LIKE '%968207%'"
mrs,z_Credit_Memo_Detail_File_____CRDETAIL,Transaction_#_____CRDORD,CRDORD,Transaction_#_____CRDORD,No,Yes,812278,971739,,19,,"SELECT '19', 'z_Credit_Memo_Detail_File_____CRDETAIL', * FROM [mrs].[z_Credit_Memo_Detail_File_____CRDETAIL] WHERE [Transaction_#_____CRDORD] LIKE '%968207%'"
mrs,z_Credit_Memo_Header_File_____CRHEADER,CREDIT_MEMO_NUMBER_____CRHORD,CRHORD,CREDIT_MEMO_NUMBER_____CRHORD,Yes,No,812278,971739,,20,,"SELECT '20', 'z_Credit_Memo_Header_File_____CRHEADER', * FROM [mrs].[z_Credit_Memo_Header_File_____CRHEADER] WHERE [CREDIT_MEMO_NUMBER_____CRHORD] LIKE '%968207%'"
mrs,z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH,Total_Number_Open_Orders_____CYOORD,CYOORD,Total_Number_Open_Orders_____CYOORD,No,Yes,0,9,,21,,"SELECT '21', 'z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH', * FROM [mrs].[z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH] WHERE [Total_Number_Open_Orders_____CYOORD] LIKE '%968207%'"
mrs,z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH,Total_Number_Quotes_____CYQORD,CYQORD,Total_Number_Quotes_____CYQORD,No,Yes,0,9,,22,,"SELECT '22', 'z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH', * FROM [mrs].[z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH] WHERE [Total_Number_Quotes_____CYQORD] LIKE '%968207%'"
mrs,z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH,YTD_Number_of_Orders_____CYYORD,CYYORD,YTD_Number_of_Orders_____CYYORD,No,Yes,0,99,,23,,"SELECT '23', 'z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH', * FROM [mrs].[z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH] WHERE [YTD_Number_of_Orders_____CYYORD] LIKE '%968207%'"
mrs,z_Quote_/_Order_Detail_History_File_____OEHISTRD,Transaction_#_____DHORDR,DHORDR,Transaction_#_____DHORDR,No,Yes,100000,99998,,24,,"SELECT '24', 'z_Quote_/_Order_Detail_History_File_____OEHISTRD', * FROM [mrs].[z_Quote_/_Order_Detail_History_File_____OEHISTRD] WHERE [Transaction_#_____DHORDR] LIKE '%968207%'"
mrs,z_Quote_/_Order_Detail_History_File_____OEHISTRD,Quote/Order_Number_____DHQORD,DHQORD,Quote/Order_Number_____DHQORD,No,Yes,0,99998,,25,,"SELECT '25', 'z_Quote_/_Order_Detail_History_File_____OEHISTRD', * FROM [mrs].[z_Quote_/_Order_Detail_History_File_____OEHISTRD] WHERE [Quote/Order_Number_____DHQORD] LIKE '%968207%'"
mrs,z_Daily_invoicing_analysis_____WFOE895,Order_Number_____DLORDR,DLORDR,Order_Number_____DLORDR,Yes,No,967017,970996,,26,,"SELECT '26', 'z_Daily_invoicing_analysis_____WFOE895', * FROM [mrs].[z_Daily_invoicing_analysis_____WFOE895] WHERE [Order_Number_____DLORDR] LIKE '%968207%'"
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,Transaction_#_____DPORDR,DPORDR,Transaction_#_____DPORDR,Yes,No,600082,971809,,27,,"SELECT '27', 'z_Delivery_Tracking_Performance_File_____DELTRACK', * FROM [mrs].[z_Delivery_Tracking_Performance_File_____DELTRACK] WHERE [Transaction_#_____DPORDR] LIKE '%968207%'"
mrs,z_Tolerance_Details_for_Main_Lines_____TLDETAIL,Transaction_#_____DTORDR,DTORDR,Transaction_#_____DTORDR,No,Yes,100934,99949,,28,,"SELECT '28', 'z_Tolerance_Details_for_Main_Lines_____TLDETAIL', * FROM [mrs].[z_Tolerance_Details_for_Main_Lines_____TLDETAIL] WHERE [Transaction_#_____DTORDR] LIKE '%968207%'"
mrs,z_Sales_Description_Override_____SLSDSCOV,Transaction_#_____DXORDR,DXORDR,Transaction_#_____DXORDR,No,Yes,100934,99949,,29,,"SELECT '29', 'z_Sales_Description_Override_____SLSDSCOV', * FROM [mrs].[z_Sales_Description_Override_____SLSDSCOV] WHERE [Transaction_#_____DXORDR] LIKE '%968207%'"
mrs,z_MW_Email_Log_File_____EMAILLOG,ORDER_NUMBER_____EMORDR,EMORDR,ORDER_NUMBER_____EMORDR,No,Yes,0,971924,,30,,"SELECT '30', 'z_MW_Email_Log_File_____EMAILLOG', * FROM [mrs].[z_MW_Email_Log_File_____EMAILLOG] WHERE [ORDER_NUMBER_____EMORDR] LIKE '%968207%'"
mrs,z_Daily_Flash_Report_____FLASHRPT,NUMBER_OF_ORDERS_____FLNORD,FLNORD,NUMBER_OF_ORDERS_____FLNORD,No,Yes,0,0,,31,,"SELECT '31', 'z_Daily_Flash_Report_____FLASHRPT', * FROM [mrs].[z_Daily_Flash_Report_____FLASHRPT] WHERE [NUMBER_OF_ORDERS_____FLNORD] LIKE '%968207%'"
mrs,z_Item_Master_File_____ITEMMAST,Last_Receipt_Purchase_Order_____IMPORD,IMPORD,Last_Receipt_Purchase_Order_____IMPORD,No,Yes,0,518446,,32,,"SELECT '32', 'z_Item_Master_File_____ITEMMAST', * FROM [mrs].[z_Item_Master_File_____ITEMMAST] WHERE [Last_Receipt_Purchase_Order_____IMPORD] LIKE '%968207%'"
mrs,z_Item_Master_File_____ITEMMASTXX,Last_Receipt_Purchase_Order_____IMPORD,IMPORD,Last_Receipt_Purchase_Order_____IMPORD,No,Yes,0,0,,33,,"SELECT '33', 'z_Item_Master_File_____ITEMMASTXX', * FROM [mrs].[z_Item_Master_File_____ITEMMASTXX] WHERE [Last_Receipt_Purchase_Order_____IMPORD] LIKE '%968207%'"
mrs,z_Item_Master_File_____ITEMBG,Last_Receipt_Purchase_Order_____IMPORD,IMPORD,Last_Receipt_Purchase_Order_____IMPORD,No,Yes,0,0,,34,,"SELECT '34', 'z_Item_Master_File_____ITEMBG', * FROM [mrs].[z_Item_Master_File_____ITEMBG] WHERE [Last_Receipt_Purchase_Order_____IMPORD] LIKE '%968207%'"
mrs,z_Item_on_Hand_File_____ITEMONHD,Ordering_District_____IOORDI,IOORDI,Ordering_District_____IOORDI,No,Yes,1,1,,35,,"SELECT '35', 'z_Item_on_Hand_File_____ITEMONHD', * FROM [mrs].[z_Item_on_Hand_File_____ITEMONHD] WHERE [Ordering_District_____IOORDI] LIKE '%968207%'"
mrs,z_Item_on_Hand_File_____ITEMONHDXX,Ordering_District_____IOORDI,IOORDI,Ordering_District_____IOORDI,No,Yes,1,1,,36,,"SELECT '36', 'z_Item_on_Hand_File_____ITEMONHDXX', * FROM [mrs].[z_Item_on_Hand_File_____ITEMONHDXX] WHERE [Ordering_District_____IOORDI] LIKE '%968207%'"
mrs,z_Tag_Master_File_____ITEMTAG,Mill_Order_Number_Original_____ITMORD,ITMORD,Mill_Order_Number_Original_____ITMORD,No,Yes,                      ,                      ,,37,,"SELECT '37', 'z_Tag_Master_File_____ITEMTAG', * FROM [mrs].[z_Tag_Master_File_____ITEMTAG] WHERE [Mill_Order_Number_Original_____ITMORD] LIKE '%968207%'"
mrs,z_Tag_Master_File_____ITEMTAGB4,Mill_Order_Number_Original_____ITMORD,ITMORD,Mill_Order_Number_Original_____ITMORD,No,Yes,                      ,                      ,,38,,"SELECT '38', 'z_Tag_Master_File_____ITEMTAGB4', * FROM [mrs].[z_Tag_Master_File_____ITEMTAGB4] WHERE [Mill_Order_Number_Original_____ITMORD] LIKE '%968207%'"
mrs,z_Tag_Master_File_____ITEMTAGLAH,Mill_Order_Number_Original_____ITMORD,ITMORD,Mill_Order_Number_Original_____ITMORD,No,Yes,                      ,                      ,,39,,"SELECT '39', 'z_Tag_Master_File_____ITEMTAGLAH', * FROM [mrs].[z_Tag_Master_File_____ITEMTAGLAH] WHERE [Mill_Order_Number_Original_____ITMORD] LIKE '%968207%'"
mrs,z_Material_Processing_Order_Detail_____MPDETAIL,Transaction_#_____MDORDR,MDORDR,Transaction_#_____MDORDR,Yes,No,400155,402186,,40,,"SELECT '40', 'z_Material_Processing_Order_Detail_____MPDETAIL', * FROM [mrs].[z_Material_Processing_Order_Detail_____MPDETAIL] WHERE [Transaction_#_____MDORDR] LIKE '%968207%'"
mrs,z_M/P_Final_Detail_____MPHSTDET,Transaction_#_____MDORDR,MDORDR,Transaction_#_____MDORDR,No,Yes,400008,402185,,41,,"SELECT '41', 'z_M/P_Final_Detail_____MPHSTDET', * FROM [mrs].[z_M/P_Final_Detail_____MPHSTDET] WHERE [Transaction_#_____MDORDR] LIKE '%968207%'"
mrs,z_Material_Processing_Order_Profile_____MPPROFIL,Transaction_#_____MFORDR,MFORDR,Transaction_#_____MFORDR,Yes,No,400155,402186,,42,,"SELECT '42', 'z_Material_Processing_Order_Profile_____MPPROFIL', * FROM [mrs].[z_Material_Processing_Order_Profile_____MPPROFIL] WHERE [Transaction_#_____MFORDR] LIKE '%968207%'"
mrs,z_Material_Processing_Order_Header_____MPHDRORD,LINKED_ORDER_NUMBER_____MHLORD,MHLORD,LINKED_ORDER_NUMBER_____MHLORD,No,Yes,0,0,,43,,"SELECT '43', 'z_Material_Processing_Order_Header_____MPHDRORD', * FROM [mrs].[z_Material_Processing_Order_Header_____MPHDRORD] WHERE [LINKED_ORDER_NUMBER_____MHLORD] LIKE '%968207%'"
mrs,z_M/P_Final_Header_____MPHSTHDR,LINKED_ORDER_NUMBER_____MHLORD,MHLORD,LINKED_ORDER_NUMBER_____MHLORD,No,Yes,0,0,,44,,"SELECT '44', 'z_M/P_Final_Header_____MPHSTHDR', * FROM [mrs].[z_M/P_Final_Header_____MPHSTHDR] WHERE [LINKED_ORDER_NUMBER_____MHLORD] LIKE '%968207%'"
mrs,z_M/P_Final_Header_____MPHSTHDR,Transaction_#_____MHORDR,MHORDR,Transaction_#_____MHORDR,No,Yes,400008,402185,,45,,"SELECT '45', 'z_M/P_Final_Header_____MPHSTHDR', * FROM [mrs].[z_M/P_Final_Header_____MPHSTHDR] WHERE [Transaction_#_____MHORDR] LIKE '%968207%'"
mrs,z_Material_Processing_Order_Header_____MPHDRORD,Transaction_#_____MHORDR,MHORDR,Transaction_#_____MHORDR,Yes,No,400155,402186,,46,,"SELECT '46', 'z_Material_Processing_Order_Header_____MPHDRORD', * FROM [mrs].[z_Material_Processing_Order_Header_____MPHDRORD] WHERE [Transaction_#_____MHORDR] LIKE '%968207%'"
mrs,z_Manifest_____MNFEST,Transaction_#_____MNORDR,MNORDR,Transaction_#_____MNORDR,Yes,No,820590,930168,,47,,"SELECT '47', 'z_Manifest_____MNFEST', * FROM [mrs].[z_Manifest_____MNFEST] WHERE [Transaction_#_____MNORDR] LIKE '%968207%'"
mrs,z_MP_Setup_Control_File_____MPSETUP,ORDER_NUMBER_____MSORDR,MSORDR,ORDER_NUMBER_____MSORDR,Yes,No,400008,402189,,48,,"SELECT '48', 'z_MP_Setup_Control_File_____MPSETUP', * FROM [mrs].[z_MP_Setup_Control_File_____MPSETUP] WHERE [ORDER_NUMBER_____MSORDR] LIKE '%968207%'"
mrs,z_MP_Tracking_File_____MPTRCK,Transaction_#_____MTORDR,MTORDR,Transaction_#_____MTORDR,No,Yes,400145,402189,,49,,"SELECT '49', 'z_MP_Tracking_File_____MPTRCK', * FROM [mrs].[z_MP_Tracking_File_____MPTRCK] WHERE [Transaction_#_____MTORDR] LIKE '%968207%'"
mrs,z_mw100_reset_audit_trail_____MWRESET,Transaction_#_____MWORDR,MWORDR,Transaction_#_____MWORDR,No,Yes,0,99685,,50,,"SELECT '50', 'z_mw100_reset_audit_trail_____MWRESET', * FROM [mrs].[z_mw100_reset_audit_trail_____MWRESET] WHERE [Transaction_#_____MWORDR] LIKE '%968207%'"
mrs,z______OECHANGE,Transaction_#_____OCORDR,OCORDR,Transaction_#_____OCORDR,No,Yes,502,971880,,51,,"SELECT '51', 'z______OECHANGE', * FROM [mrs].[z______OECHANGE] WHERE [Transaction_#_____OCORDR] LIKE '%968207%'"
mrs,z_Order_Detail_File_____OEDETAIL,Transaction_#_____ODORDR,ODORDR,Transaction_#_____ODORDR,No,Yes,100934,99949,,52,,"SELECT '52', 'z_Order_Detail_File_____OEDETAIL', * FROM [mrs].[z_Order_Detail_File_____OEDETAIL] WHERE [Transaction_#_____ODORDR] LIKE '%968207%'"
mrs,z_Quote_/_Order_History_Header_File_____OEHISTRY,Order_Number_____OHORDR,OHORDR,Order_Number_____OHORDR,No,Yes,100035,99999,,53,,"SELECT '53', 'z_Quote_/_Order_History_Header_File_____OEHISTRY', * FROM [mrs].[z_Quote_/_Order_History_Header_File_____OEHISTRY] WHERE [Order_Number_____OHORDR] LIKE '%968207%'"
mrs,z_Quote_/_Order_History_Header_File_____OEHISTRY,Quote_Order_Number_____OHQORD,OHQORD,Quote_Order_Number_____OHQORD,No,Yes,0,99999,,54,,"SELECT '54', 'z_Quote_/_Order_History_Header_File_____OEHISTRY', * FROM [mrs].[z_Quote_/_Order_History_Header_File_____OEHISTRY] WHERE [Quote_Order_Number_____OHQORD] LIKE '%968207%'"
mrs,z_Operational_Information_____OPERINFO,ORDER_NUMBER_____OIORDR,OIORDR,ORDER_NUMBER_____OIORDR,No,Yes,400007,402189,,55,,"SELECT '55', 'z_Operational_Information_____OPERINFO', * FROM [mrs].[z_Operational_Information_____OPERINFO] WHERE [ORDER_NUMBER_____OIORDR] LIKE '%968207%'"
mrs,z_Open_Order_File_____OEOPNORD,FORCAST_ORDER#_____OOFORD,OOFORD,FORCAST_ORDER#_____OOFORD,No,Yes,               ,               ,,56,,"SELECT '56', 'z_Open_Order_File_____OEOPNORD', * FROM [mrs].[z_Open_Order_File_____OEOPNORD] WHERE [FORCAST_ORDER#_____OOFORD] LIKE '%968207%'"
mrs,z_Open_Order_File_____OEOPNORD,ORDER_NUMBER_____OOORDR,OOORDR,ORDER_NUMBER_____OOORDR,Yes,No,100934,99949,,57,,"SELECT '57', 'z_Open_Order_File_____OEOPNORD', * FROM [mrs].[z_Open_Order_File_____OEOPNORD] WHERE [ORDER_NUMBER_____OOORDR] LIKE '%968207%'"
mrs,z_Order_Profile_File_____OEPROFIL,ORDER_NUMBER_____OPORDR,OPORDR,ORDER_NUMBER_____OPORDR,Yes,No,100934,99949,,58,,"SELECT '58', 'z_Order_Profile_File_____OEPROFIL', * FROM [mrs].[z_Order_Profile_File_____OEPROFIL] WHERE [ORDER_NUMBER_____OPORDR] LIKE '%968207%'"
mrs,z_Credit-Held_Order_Release_File_____OECRRELS,O/E_District_#_____ORDIST,ORDIST,O/E_District_#_____ORDIST,No,Yes,1,1,,59,,"SELECT '59', 'z_Credit-Held_Order_Release_File_____OECRRELS', * FROM [mrs].[z_Credit-Held_Order_Release_File_____OECRRELS] WHERE [O/E_District_#_____ORDIST] LIKE '%968207%'"
mrs,z_Credit-Held_Order_Release_File_____OECRRELS,ORDER_NUMBER_____ORORDR,ORORDR,ORDER_NUMBER_____ORORDR,Yes,No,800977,971904,,60,,"SELECT '60', 'z_Credit-Held_Order_Release_File_____OECRRELS', * FROM [mrs].[z_Credit-Held_Order_Release_File_____OECRRELS] WHERE [ORDER_NUMBER_____ORORDR] LIKE '%968207%'"
mrs,z_Order_Ship_Instructions_____OESHPINS,Transaction_#_____OSORDR,OSORDR,Transaction_#_____OSORDR,No,Yes,100311,99675,,61,,"SELECT '61', 'z_Order_Ship_Instructions_____OESHPINS', * FROM [mrs].[z_Order_Ship_Instructions_____OESHPINS] WHERE [Transaction_#_____OSORDR] LIKE '%968207%'"
mrs,z_Order_Tracking_File_____ORDTRHST,ORDER_NUMBER_____OTHORD,OTHORD,ORDER_NUMBER_____OTHORD,No,Yes,100990,99674,,62,,"SELECT '62', 'z_Order_Tracking_File_____ORDTRHST', * FROM [mrs].[z_Order_Tracking_File_____ORDTRHST] WHERE [ORDER_NUMBER_____OTHORD] LIKE '%968207%'"
mrs,z_Order_Tracking_File_____ORDTRCK,ORDER_NUMBER_____OTORDR,OTORDR,ORDER_NUMBER_____OTORDR,No,Yes,100990,99674,,63,,"SELECT '63', 'z_Order_Tracking_File_____ORDTRCK', * FROM [mrs].[z_Order_Tracking_File_____ORDTRCK] WHERE [ORDER_NUMBER_____OTORDR] LIKE '%968207%'"
mrs,z_PC_Tracking_File_____PCTRCK,ORDER_NUMBER_____PCORDR,PCORDR,ORDER_NUMBER_____PCORDR,No,Yes,400145,971924,,64,,"SELECT '64', 'z_PC_Tracking_File_____PCTRCK', * FROM [mrs].[z_PC_Tracking_File_____PCTRCK] WHERE [ORDER_NUMBER_____PCORDR] LIKE '%968207%'"
mrs,z_Process_Charges__-_Dimensions_____PRCTDIM,ORDER_NUMBER_____PDORDR,PDORDR,ORDER_NUMBER_____PDORDR,No,Yes,600014,914641,,65,,"SELECT '65', 'z_Process_Charges__-_Dimensions_____PRCTDIM', * FROM [mrs].[z_Process_Charges__-_Dimensions_____PRCTDIM] WHERE [ORDER_NUMBER_____PDORDR] LIKE '%968207%'"
mrs,z_Picker_Detail_File_____PICKDTL,O/E_ORDER_#_____PIORDR,PIORDR,O/E_ORDER_#_____PIORDR,Yes,No,600014,971883,,66,,"SELECT '66', 'z_Picker_Detail_File_____PICKDTL', * FROM [mrs].[z_Picker_Detail_File_____PICKDTL] WHERE [O/E_ORDER_#_____PIORDR] LIKE '%968207%'"
mrs,z_Process_Charges__-_Header_____PRCHCHRG,ORDER_NUMBER_____PJORDR,PJORDR,ORDER_NUMBER_____PJORDR,No,Yes,100990,99674,,67,,"SELECT '67', 'z_Process_Charges__-_Header_____PRCHCHRG', * FROM [mrs].[z_Process_Charges__-_Header_____PRCHCHRG] WHERE [ORDER_NUMBER_____PJORDR] LIKE '%968207%'"
mrs,z_M/P_Final_Processing_Charges_____MPHSTPRC,Transaction_#_____PKORDR,PKORDR,Transaction_#_____PKORDR,No,Yes,400008,402185,,68,,"SELECT '68', 'z_M/P_Final_Processing_Charges_____MPHSTPRC', * FROM [mrs].[z_M/P_Final_Processing_Charges_____MPHSTPRC] WHERE [Transaction_#_____PKORDR] LIKE '%968207%'"
mrs,z_Process_Charges__-_Transactions_____PRCTCHRG,ORDER_NUMBER_____PKORDR,PKORDR,ORDER_NUMBER_____PKORDR,No,Yes,100990,99674,,69,,"SELECT '69', 'z_Process_Charges__-_Transactions_____PRCTCHRG', * FROM [mrs].[z_Process_Charges__-_Transactions_____PRCTCHRG] WHERE [ORDER_NUMBER_____PKORDR] LIKE '%968207%'"
mrs,z_Process_Charges__-_Test_Quantity_____PRCHTQTY,ORDER_NUMBER_____PQORDR,PQORDR,ORDER_NUMBER_____PQORDR,No,Yes,100990,99674,,70,,"SELECT '70', 'z_Process_Charges__-_Test_Quantity_____PRCHTQTY', * FROM [mrs].[z_Process_Charges__-_Test_Quantity_____PRCHTQTY] WHERE [ORDER_NUMBER_____PQORDR] LIKE '%968207%'"
mrs,z_Produced_From_____PRODFROM,MP_#_____PRMORD,PRMORD,MP_#_____PRMORD,No,Yes,400008,402185,,71,,"SELECT '71', 'z_Produced_From_____PRODFROM', * FROM [mrs].[z_Produced_From_____PRODFROM] WHERE [MP_#_____PRMORD] LIKE '%968207%'"
mrs,z_Print_Request_File_____PRTREQST,Order_Number_____PRTORD,PRTORD,Order_Number_____PRTORD,Yes,No,400244,400581,,72,,"SELECT '72', 'z_Print_Request_File_____PRTREQST', * FROM [mrs].[z_Print_Request_File_____PRTREQST] WHERE [Order_Number_____PRTORD] LIKE '%968207%'"
mrs,z_Shipments_File_____SHIPMAST,Cust_P/O#_____SHCORD,SHCORD,Cust_P/O#_____SHCORD,No,Yes,                      ,ZT-95 M               ,,73,,"SELECT '73', 'z_Shipments_File_____SHIPMAST', * FROM [mrs].[z_Shipments_File_____SHIPMAST] WHERE [Cust_P/O#_____SHCORD] LIKE '%968207%'"
mrs,z_Shipments_File_____SHIPMAST,Date_Ordered_Day_____SHORDD,SHORDD,Date_Ordered_Day_____SHORDD,No,Yes,0,9,,74,,"SELECT '74', 'z_Shipments_File_____SHIPMAST', * FROM [mrs].[z_Shipments_File_____SHIPMAST] WHERE [Date_Ordered_Day_____SHORDD] LIKE '%968207%'"
mrs,z_Shipments_File_____SHIPMAST,Transaction_#_____SHORDN,SHORDN,Transaction_#_____SHORDN,No,Yes,804176,971869,,75,,"SELECT '75', 'z_Shipments_File_____SHIPMAST', * FROM [mrs].[z_Shipments_File_____SHIPMAST] WHERE [Transaction_#_____SHORDN] LIKE '%968207%'"
