GLACCT_General_Ledger_Account,GLAMT_Transaction_Amount,GLDESC_Description,GLBTCH_Batch,GLREF_Reference,GLTRN#_Transaction_Number,GLCUST_Customer_ID,GLRECD_Record_Type,GLCOMP_Company_Code,GLDIST_Distribution_Center,GLAPPL_Application_Source,GLPERD_Posting_Period,GLPPYY_Posting_Year,GLCSTC_Cost_Center,GLCRDB_Credit_Debit,GLPCC_Posting_Century,GLPYY_Posting_Year,GLPMM_Posting_Month,GLPDD_Posting_Day,GLSYY_Source_Year,GLSMM_Source_Month,GLSDD_Source_Day,GLBDIS_Billing_Distribution_Center,GLRPTY_Report_Type,GLRP#_Report_Number,GLEXDT_External_Date,GLEXTM_External_Time,GLPGM_Program_Code,GLDSP_Distribution_Point,GLUSER_User,GLTIME_Time,GLTRNT_Transaction_Type,GLTYPE_TYPE,GLTRDS_Transaction_Distribution_Sequence,GLMLIN_Multi_line_Number,GLCDIS_Customer_Distribution_Code,GLAPTR_AP_Transaction_Reference,GLLOCK_Lock_Flag,GLRFCC_Reference_Century,GLRFYY_Reference_Year,GLRFMM_Reference_Month,GLRFDD_Reference_Day,GLAMTQ_Quantified_Amount,GLREF_CLEAN_Clean_Reference,GLREF_REV_Reversal_Reference
1503000000,584.99,"QUALITY MACHINE SERVICES           ",0,"50054          ",833038,297,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112014,OE," ",1,1,1,0,0,0,0,0,0,584.99,50054,45005
1501000000,46.52,"QUALITY MACHINE SERVICES           ",0,"50054          ",833038,297,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112014,OE," ",1,1,1,0,0,0,0,0,0,46.52,50054,45005
1503000000,46.52,"QUALITY MACHINE SERVICES           ",0,"50054          ",833038,297,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112014,OE," ",1,1,1,0,0,0,0,0,0,-46.52,50054,45005
1501000000,964.50,"K & B INDUSTRIES                   ",0,"50714          ",833692,195,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112110,OE," ",1,1,1,0,0,0,0,0,0,-964.50,50714,41705
1503000000,964.50,"K & B INDUSTRIES                   ",0,"50714          ",833692,195,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112110,OE," ",1,1,1,0,0,0,0,0,0,964.50,50714,41705
1501000000,140.03,"K & B INDUSTRIES                   ",0,"50714          ",833692,195,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112110,OE," ",1,1,1,0,0,0,0,0,0,140.03,50714,41705
1503000000,140.03,"K & B INDUSTRIES                   ",0,"50714          ",833692,195,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112110,OE," ",1,1,1,0,0,0,0,0,0,-140.03,50714,41705
1501000000,296.81,"OLYMPIAN MACHINE LLC               ",0,"50831          ",833660,286,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112229,OE," ",1,1,1,0,0,0,0,0,0,-296.81,50831,13805
1503000000,296.81,"OLYMPIAN MACHINE LLC               ",0,"50831          ",833660,286,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112229,OE," ",1,1,1,0,0,0,0,0,0,296.81,50831,13805
1501000000,19.71,"OLYMPIAN MACHINE LLC               ",0,"50831          ",833660,286,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112229,OE," ",1,1,1,0,0,0,0,0,0,19.71,50831,13805
1503000000,19.71,"OLYMPIAN MACHINE LLC               ",0,"50831          ",833660,286,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112229,OE," ",1,1,1,0,0,0,0,0,0,-19.71,50831,13805
1501000000,4084.37,"OLYMPIAN MACHINE LLC               ",0,"50293          ",833225,286,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112328,OE," ",1,1,1,0,0,0,0,0,0,-4084.37,50293,39205
1503000000,4084.37,"OLYMPIAN MACHINE LLC               ",0,"50293          ",833225,286,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112328,OE," ",1,1,1,0,0,0,0,0,0,4084.37,50293,39205
1501000000,20.10,"OLYMPIAN MACHINE LLC               ",0,"50293          ",833225,286,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112328,OE," ",1,1,1,0,0,0,0,0,0,20.10,50293,39205
1503000000,20.10,"OLYMPIAN MACHINE LLC               ",0,"50293          ",833225,286,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112328,OE," ",1,1,1,0,0,0,0,0,0,-20.10,50293,39205
1501000000,983.27,"OLYMPIAN MACHINE LLC               ",0,"50162          ",833223,286,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112417,OE," ",1,1,1,0,0,0,0,0,0,-983.27,50162,26105
1503000000,983.27,"OLYMPIAN MACHINE LLC               ",0,"50162          ",833223,286,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112417,OE," ",1,1,1,0,0,0,0,0,0,983.27,50162,26105
1501000000,7.72,"OLYMPIAN MACHINE LLC               ",0,"50162          ",833223,286,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112417,OE," ",1,1,1,0,0,0,0,0,0,7.72,50162,26105
