MDORDR_MaterialProcessingOrder,VVNDR_VendorCode,VALPHA_VendorName,MDCLOS_CloseFlag,MDITEM_ItemNumber,MDCRTD_CreationDate,MPRQDATE_RequestedProcessingDate,MDOQTY_QuantityOrdered,MDOUOM_UnitOfMeasure,MDIQTY_QuantityIssued
401820,120,"G&S                      ",P,50454,"3.500 1.750 .875 HF 4140 P110 QT   ",20230106,104.000,"LB ",1.000
401819,119,"ACCU-TEST LABS           ",P,50454,"3.500 1.750 .875 HF 4140 P110 QT   ",20230110,20.000,"LB ",19.250
402061,119,"ACCU-TEST LABS           ",P,50462,"1.500 BAR HF 4140 110KSI QT        ",20240719,97.000,"LB ",0.000
402060,119,"ACCU-TEST LABS           ",P,50462,"1.500 BAR HF 4140 110KSI QT        ",20240722,0.500,"LB ",0.000
402043,119,"ACCU-TEST LABS           ",P,50475,"4.250 BAR HF 420M L80 QT           ",20240619,1.500,"LB ",0.000
402042,119,"ACCU-TEST LABS           ",P,50475,"4.250 BAR HF 420M L80 QT           ",20240619,0.500,"LB ",0.000
401827,120,"G&S                      ",P,50482,"14.000 9.000 2.500 HF 4130 LN80++  ",20230109,2.917,"LB ",0.084
401826,119,"ACCU-TEST LABS           ",P,50482,"14.000 9.000 2.500 HF 4130 LN80++  ",20230110,0.667,"LB ",0.000
402019,119,"ACCU-TEST LABS           ",P,50496,"7.000 BAR HF 4140 80KSI NQT        ",20240515,19.333,"LB ",0.000
402018,119,"ACCU-TEST LABS           ",P,50496,"7.000 BAR HF 4140 80KSI NQT        ",20240516,0.500,"LB ",0.000
402045,119,"ACCU-TEST LABS           ",P,50509,"12.500 BAR HF 4130 80KSI NQT       ",20240620,38.000,"LB ",0.000
402044,119,"ACCU-TEST LABS           ",P,50509,"12.500 BAR HF 4130 80KSI NQT       ",20240620,0.083,"LB ",0.000
402063,119,"ACCU-TEST LABS           ",P,50517,"5.250 BAR HF 4340 AR               ",20240719,3.667,"LB ",0.000
402062,119,"ACCU-TEST LABS           ",P,50517,"5.250 BAR HF 4340 AR               ",20240722,0.500,"LB ",0.000
401830,120,"G&S                      ",P,50524,"7.250 BAR HF 4340 AR               ",20230109,84.085,"LB ",0.167
401979,121,"SPECIALTY HEAT TREAT     ",P,50525,"11.000 BAR HF 4140 110KSI NQT      ",20240307,148.667,"LB ",0.667
402005,119,"ACCU-TEST LABS           ",P,50544,"11.500 BAR HF 4140 110KSI NQT.     ",20240506,8.667,"LB ",0.000
402004,119,"ACCU-TEST LABS           ",C,50544,"11.500 BAR HF 4140 110KSI NQT.     ",20240507,0.083,"LB ",0.000
401899,119,"ACCU-TEST LABS           ",P,50564,"5.250 BAR HF 4340 125 KSI NQT      ",20230601,0.500,"LB ",0.000
401832,121,"SPECIALTY HEAT TREAT     ",P,50572,"6.250 BAR HF 4340 125 KSI NQT      ",20230202,69.000,"LB ",0.000
400491,120,"G&S                      ",P,50573,"7.500 BAR HF 4340 125 KSI NQT      ",20151023,0.000,"LB ",1.000
400490,307,AMERICAN ABRASIVES & COAT,P,50573,"7.500 BAR HF 4340 125 KSI NQT      ",20151023,0.000,"LB ",1.000
402069,119,"ACCU-TEST LABS           ",P,50583,"2.250 BAR HF 4140 110KSI QT        ",20240805,72.000,"LB ",1.583
402068,119,"ACCU-TEST LABS           ",P,50583,"2.250 BAR HF 4140 110KSI QT        ",20240806,0.500,"LB ",0.000
402001,119,"ACCU-TEST LABS           ",P,50604,"7.250 BAR HF 4340 125 KSI NQT      ",20240506,0.083,"LB ",0.000
401857,121,"SPECIALTY HEAT TREAT     ",P,50604,"7.250 BAR HF 4340 125 KSI NQT      ",20230410,106.084,"LB ",0.999
402067,121,"SPECIALTY HEAT TREAT     ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20240821,152.831,"LB ",0.498
401974,119,"ACCU-TEST LABS           ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20240131,147.000,"LB ",0.000
401964,121,"SPECIALTY HEAT TREAT     ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20240101,152.831,"LB ",0.498
401931,121,"SPECIALTY HEAT TREAT     ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20230911,152.833,"LB ",0.500
401913,121,"SPECIALTY HEAT TREAT     ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20230721,152.831,"LB ",0.498
401907,119,"ACCU-TEST LABS           ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20230616,99.835,"LB ",0.002
401894,121,"SPECIALTY HEAT TREAT     ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20230619,140.000,"LB ",0.000
401875,121,"SPECIALTY HEAT TREAT     ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20230522,142.917,"LB ",0.084
401874,119,"ACCU-TEST LABS           ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20230427,22.167,"LB ",0.000
401873,121,"SPECIALTY HEAT TREAT     ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20230508,147.000,"LB ",0.250
401858,121,"SPECIALTY HEAT TREAT     ",P,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20230410,296.173,"LB ",0.755
401735,121,"SPECIALTY HEAT TREAT     ",C,50605,"6.750 BAR HF 4340 125 KSI NQT      ",20220812,117.416,"LB ",0.832
402173,121,"SPECIALTY HEAT TREAT     "," ",50614,"8.500 BAR HF 4340 125 KSI NQT      ",20250408,63.168,"LB ",63.168
402157,121,"SPECIALTY HEAT TREAT     ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20250321,63.000,"LB ",0.583
402105,121,"SPECIALTY HEAT TREAT     ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20241108,82.334,"LB ",0.501
402047,121,"SPECIALTY HEAT TREAT     ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20240709,84.000,"LB ",0.666
401976,121,"SPECIALTY HEAT TREAT     ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20240301,88.082,"LB ",0.415
401941,121,"SPECIALTY HEAT TREAT     ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20231103,99.165,"LB ",1.415
401901,121,"SPECIALTY HEAT TREAT     ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20230627,168.000,"LB ",0.000
401887,119,"ACCU-TEST LABS           ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20230516,107.500,"LB ",0.083
401882,307,AMERICAN ABRASIVES & COAT,P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20230512,106.500,"LB ",0.000
401859,121,"SPECIALTY HEAT TREAT     ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20230414,176.000,"LB ",2.333
401840,121,"SPECIALTY HEAT TREAT     ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20230224,88.000,"LB ",0.583
401771,121,"SPECIALTY HEAT TREAT     ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20221024,86.750,"LB ",0.334
401727,121,"SPECIALTY HEAT TREAT     ",P,50614,"8.500 BAR HF 4340 125 KSI NQT      ",20220728,79.167,"LB ",0.417
401790,120,"G&S                      ",P,50619,"7.250 BAR HF 4340 ANN              ",20221107,36.417,"LB ",0.084
401789,119,"ACCU-TEST LABS           ",P,50619,"7.250 BAR HF 4340 ANN              ",20221107,0.167,"LB ",0.000
402167,168,"HDH INSTRUMENTS          ",P,50627,"5.000 3.875 .563 MAC 4130 LN80 QT  ",20250321,148.000,"LB ",0.500
401884,168,"HDH INSTRUMENTS          ",P,50627,"5.000 3.875 .563 MAC 4130 LN80 QT  ",20230522,362.500,"LB ",0.334
401786,168,"HDH INSTRUMENTS          ",P,50627,"5.000 3.875 .563 MAC 4130 LN80 QT  ",20221115,296.000,"LB ",0.000
402022,119,"ACCU-TEST LABS           ",P,50628,"13.000 BAR HF 8630 NQT 80KSI       ",20240521,4.833,"LB ",0.083
401998,121,"SPECIALTY HEAT TREAT     ",P,50628,"13.000 BAR HF 8630 NQT 80KSI       ",20240517,5.229,"LB ",0.479
402175,121,"SPECIALTY HEAT TREAT     "," ",50638,"9.500 BAR HF 4340 125 KSI NQT      ",20250321,34.250,"LB ",34.250
401935,121,"SPECIALTY HEAT TREAT     ",P,50641,"8.500 BAR HF 4140 80KSI NQT.       ",20230929,322.997,"LB ",2.495
401933,119,"ACCU-TEST LABS           ",P,50641,"8.500 BAR HF 4140 80KSI NQT.       ",20230911,0.166,"LB ",0.000
401947,119,"ACCU-TEST LABS           ",P,50650,18.000 14.000 2.000 HF 4130M 125 KS,20231025,10.833,"LB ",0.000
401946,119,"ACCU-TEST LABS           ",P,50650,18.000 14.000 2.000 HF 4130M 125 KS,20231025,0.583,"LB ",0.000
402082,119,"ACCU-TEST LABS           ",P,50656,"6.000 BAR HF 4140 125KSI QT        ",20240827,0.500,"LB ",0.000
402083,121,"SPECIALTY HEAT TREAT     ",P,50657,11.000 6.000 2.500 HF 4130 LN80 QT.,20240924,93.000,"LB ",15.334
401846,119,"ACCU-TEST LABS           ",P,50657,11.000 6.000 2.500 HF 4130 LN80 QT.,20230216,0.250,"LB ",0.000
401844,121,"SPECIALTY HEAT TREAT     ",P,50657,11.000 6.000 2.500 HF 4130 LN80 QT.,20230306,84.499,"LB ",1.665
401843,121,"SPECIALTY HEAT TREAT     ",P,50657,11.000 6.000 2.500 HF 4130 LN80 QT.,20230306,28.333,"LB ",1.000
401709,121,"SPECIALTY HEAT TREAT     ",P,50657,"11.000 6.000 2.500 HF 4130 LN80 QT ",20220610,171.416,"LB ",16.084
400402,121,"SPECIALTY HEAT TREAT     ",P,50666,14.125 14.125 BLOCK  MAC 4130 80KSI,20150525,298440.260,"LB ",281031.245
400403,121,"SPECIALTY HEAT TREAT     ",P,50667,"13.250 13.250 BLOCK MAC 4130 80KSI ",20150518,310357.983,"LB ",294193.505
400404,121,"SPECIALTY HEAT TREAT     ",P,50668,9.250 9.250 BLOCK  MAC 4130 80KSI N,20150518,232702.620,"LB ",223733.873
400405,121,"SPECIALTY HEAT TREAT     ",P,50669,10.250 10.250 BLOCK  MAC 4130 80KSI,20150521,228589.104,"LB ",219131.527
400406,121,"SPECIALTY HEAT TREAT     ",P,50670,"12.250 12.250 BLOCK MAC 4130 80KSI ",20150525,336700.634,"LB ",319514.872
401799,121,"SPECIALTY HEAT TREAT     ",P,50685,"10.000 BAR HF 8630 125/140 KSI     ",20221219,68.917,"LB ",0.667
401764,121,"SPECIALTY HEAT TREAT     ",P,50685,"10.000 BAR HF 8630 125/140 KSI     ",20221004,57.165,"LB ",0.165
401713,121,"SPECIALTY HEAT TREAT     ",P,50685,"10.000 BAR HF 8630 125/140 KSI     ",20220705,60.000,"LB ",0.000
401945,119,"ACCU-TEST LABS           ",P,50694,"3.500 BAR HF 17-4 HH 1150          ",20231020,3.000,"LB ",0.000
401944,119,"ACCU-TEST LABS           ",P,50694,"3.500 BAR HF 17-4 HH 1150          ",20231023,0.583,"LB ",0.000
402130,119,"ACCU-TEST LABS           ",P,50697,"19.000 BAR HF 4130 80KSI NQT       ",20241203,3.167,"LB ",0.000
401851,119,"ACCU-TEST LABS           ",P,50697,"19.000 BAR HF 4130 80KSI NQT       ",20230227,6.083,"LB ",0.000
402096,119,"ACCU-TEST LABS           ",P,50719,"1.750 BAR HF 4130 80KSI QT..       ",20241007,100.835,"LB ",0.002
402094,307,AMERICAN ABRASIVES & COAT,P,50719,"1.750 BAR HF 4130 80KSI QT..       ",20241004,100.835,"LB ",0.002
401992,121,"SPECIALTY HEAT TREAT     ",P,50719,"1.750 BAR HF 4130 80KSI QT..       ",20240509,1008.350,"LB ",2.018
400501,158,"TIMKEN BORING            ",P,50751,"6.500 4.500 1.000 HF 80-55-06      ",20151104,73.499,"FT ",73.499
401714,119,"ACCU-TEST LABS           ",P,50765,"14.000 BAR HF 65-45-12             ",20220610,0.500,"LB ",0.000
402078,121,"SPECIALTY HEAT TREAT     ",P,50787,"2.000 BAR HF 4130 80KSI QT         ",20240916,480.000,"LB ",1.333
401733,121,"SPECIALTY HEAT TREAT     ",P,50790,"10.000 BAR HF 4140 80KSI NQT       ",20220815,69.000,"LB ",0.500
401724,121,"SPECIALTY HEAT TREAT     ",P,50790,"10.000 BAR HF 4140 80KSI NQT       ",20220718,69.000,"LB ",0.500
400646,119,"ACCU-TEST LABS           "," ",50875,"6.250 BAR HF 4340 P110 QT          ",20160831,0.500,"LB ",0.500
401818,120,"G&S                      ",P,50882,"4.750 BAR HF 4130 80KSI NQT.       ",20230106,133.000,"LB ",0.000
401817,119,"ACCU-TEST LABS           ",P,50882,"4.750 BAR HF 4130 80KSI NQT.       ",20230110,1.000,"LB ",0.000
402135,121,"SPECIALTY HEAT TREAT     ",P,50950,14.000 8.000 3.000 HF 4140 QT 105++,20241231,98.000,"LB ",0.751
401990,121,"SPECIALTY HEAT TREAT     ",P,50950,14.000 8.000 3.000 HF 4140 QT 105++,20240501,88.000,"LB ",0.167
401862,121,"SPECIALTY HEAT TREAT     ",P,50950,14.000 8.000 3.000 HF 4140 QT 105++,20230424,154.000,"LB ",0.834
401758,121,"SPECIALTY HEAT TREAT     ",P,50950,14.000 8.000 3.000 HF 4140 QT 105++,20220928,95.833,"LB ",1.499
401809,121,"SPECIALTY HEAT TREAT     ",P,51053,"5.500 BAR HF 4145 Q&T 120KSI       ",20230120,223.419,"LB ",2.336
401797,139,"TEXAS HONING             ",P,51056,"6.000 3.375 1.313 HF 4130M7 ANN    ",20221130,126.000,"LB ",0.000
401768,139,"TEXAS HONING             ",P,51056,"6.000 3.375 1.313 HF 4130M7 ANN    ",20221011,147.000,"LB ",0.000
401798,121,"SPECIALTY HEAT TREAT     ",P,51057,6.000 3.375 1.313 HF 4130M7 125 KSI,20221220,126.000,"LB ",0.000
402129,307,AMERICAN ABRASIVES & COAT,P,51070,"8.000 BAR HF 8630 125 KSI NQT      ",20241127,94.750,"LB ",0.083
402128,119,"ACCU-TEST LABS           ",P,51070,"8.000 BAR HF 8630 125 KSI NQT      ",20241202,94.750,"LB ",0.083
402119,121,"SPECIALTY HEAT TREAT     ",P,51070,"8.000 BAR HF 8630 125 KSI NQT      ",20241205,96.000,"LB ",1.333
401970,121,"SPECIALTY HEAT TREAT     ",P,51070,"8.000 BAR HF 8630 125 KSI NQT      ",20240215,96.000,"LB ",0.250
401960,121,"SPECIALTY HEAT TREAT     ",P,51070,"8.000 BAR HF 8630 125 KSI NQT      ",20231222,92.000,"LB ",0.000
401924,121,"SPECIALTY HEAT TREAT     ",P,51070,"8.000 BAR HF 8630 125 KSI NQT      ",20230821,166.917,"LB ",0.917
401795,121,"SPECIALTY HEAT TREAT     ",P,51070,"8.000 BAR HF 8630 125 KSI NQT      ",20221205,120.000,"LB ",7.666
401792,120,"G&S                      ",P,51078,"13.500 BAR HF  4130 75 KSI QT      ",20221108,15.333,"LB ",0.083
401791,119,"ACCU-TEST LABS           ",P,51078,"13.500 BAR HF  4130 75 KSI QT      ",20221108,0.500,"LB ",0.000
402133,119,"ACCU-TEST LABS           ",P,51097,"4.750 BAR HF 4330V 150 KSI NQT     ",20241206,0.500,"LB ",0.000
401871,119,"ACCU-TEST LABS           ",P,51097,"4.750 BAR HF 4330V 150 KSI NQT     ",20230421,0.500,"LB ",0.000
401861,119,"ACCU-TEST LABS           ",P,51099,"3.750 BAR HF  4330V 150 KSI NQT    ",20230331,0.500,"LB ",0.000
401850,119,"ACCU-TEST LABS           ",P,51101,"4.250 BAR HF  4330V 150 KSI NQT    ",20230228,0.500,"LB ",0.000
401854,119,"ACCU-TEST LABS           ",P,51104,"7.500 BAR HF  4330V 150 KSI NQT    ",20230308,0.500,"LB ",0.000
401562,119,"ACCU-TEST LABS           ",P,51111,"11.000 BAR HF  4130 75 KSI NQT++   ",20220921,0.500,"LB ",0.500
401732,121,"SPECIALTY HEAT TREAT     ",P,51114,11.000 5.750 2.625 HF  4140 LN80 NQ,20220805,75.000,"LB ",2.166
401416,121,"SPECIALTY HEAT TREAT     ",P,51114,11.000 5.750 2.625 HF  4140 LN80 NQ,20210111,73.000,"LB ",73.000
402102,121,"SPECIALTY HEAT TREAT     ",P,51117,"11.000 5.750 2.625 HF 4140 125KSI  ",20241106,72.000,"LB ",0.000
