IOITEM_ItemNumber,IOROH_ROPHeader,IOBOMI_BOMItem,IOQOH_QuantityOnHand,IOQOR_QuantityOnOrderRequired,IOQOO_QuantityOnOrder,IOQOOR_OtherOrderQuantity,IOFCST_ForecastQty,IOBUY_BuyerCode,IODOSC_DaysOnShelf,IOCOMP_CompanyCode,IORECD_RecordStatus,IODIST_DistributionCode,IOQIT_QuantityInTransit,IOQHLD_QuantityOnHold,IOQCOL_QuantityCommitted,IOROR_ROPReorder,IOROO_ROPOrderOpen,IOROOR_ROPOrderOther,IORIT_ROPItemThreshold,IORIQC_ROPQualityControlQty,IOBOMC_BOMCost,IOLCCC_LastCountCentury,IOLCYY_LastCountYear,IOLCMM_LastCountMonth,IOLCDD_LastCountDay,IOCUOM_CountUOM,IOACST_AverageCost,IORCST_RecentCost,IORLCK_ReorderLock,IOSCST_StandardCost,IOSCCC_StdCostCentury,IOSCYY_StdCostYear,IOSCMM_StdCostMonth,IOSCDD_StdCostDay,IODOSL_DaysOnShelfLast,IOMNRQ_MinReorderQty,IOTORQ_TotalReorderQty,IOPYIB_PriorYearInbound,IOCYIB_CurrentYearInbound,IOCYIU_CurrentYearIssued,IOITST_ItemStatus,IOPLVL_PlanningLevel,IOBGIN_BeginningInventory,IOMNBL_MinimumBalance,IOROPT_ReorderPoint,IOROPL_ROPLevel,IOROQT_ROPQty,IOLDTM_LastTransactionMonth,IOBGIT_BeginningItemQty,IOROFC_ReorderForecast,IOSSTK_SafetyStock,IOLDTL_LastDetailTrans,IOINVC_InvoiceCount,IOMTST_MaterialStatus,IODISC_DiscontinuedFlag,IOOWNF_OwnedFlag,IONSDC_NeedsCountFlag,IO1RCT_FirstReceiptDate,IOTOPP_TopPickFlag,IOPMON_PlanningMonth,IOLOCC_LocationCodeCentury,IOLOYY_LocationCodeYear,IOLOMM_LocationCodeMonth,IOLODD_LocationCodeDay,IO1ACQ_FirstAcquisitionDate
50018,0.000,358.079,304.080,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,98324.05,20,25,2,3,"FT ",274.5876,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,99994.64,198318.69,722.242,999,165.582,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,35,20,24,10,7,0.0000
50019,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",165.3893,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,18806.95,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,14,20,17,7,21,0.0000
50020,0.000,73.417,62.000,34.250,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26725.54,20,25,2,3,"FT ",364.0238,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,27089.57,54179.14,148.834,999,16.334,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,23,20,22,8,1,0.0000
50021,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",234.0116,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,4075.78,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,71,20,18,8,30,0.0000
50022,0.000,68.249,61.833,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24389.78,20,25,2,3,"FT ",357.3647,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,24389.80,48779.60,136.498,999,6.416,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,14,20,22,6,1,0.0000
50023,0.000,3.334,3.334,1.667,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1346.39,20,25,2,3,"FT ",403.8372,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,1346.39,2692.78,6.668,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,37,20,23,7,26,0.0000
50024,0.000,99.418,83.668,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33586.63,20,25,2,3,"FT ",337.8325,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,42905.40,80574.06,238.503,999,63.083,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,35,20,24,6,7,0.0000
50025,0.000,20.000,98.584,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7289.51,20,25,2,3,"FT ",355.0137,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,10387.56,20137.28,55.250,999,15.833,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,Y,0,36,20,25,3,20,346.5080
50026,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",238.8754,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,2153.39,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,19,20,17,7,26,0.0000
50027,0.000,31.583,10.000,1.583,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9725.62,20,25,2,3,"FT ",307.9379,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,6687.07,17413.48,54.416,999,38.583,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,Y,0,34,20,25,1,29,274.3228
50028,0.000,119.418,119.418,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65219.82,20,25,2,3,"FT ",546.1473,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,65219.82,130439.64,238.836,999,1.333,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,37,20,22,7,6,0.0000
50029,0.000,197.417,182.084,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80365.78,20,25,2,3,"FT ",407.0864,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,60422.88,90772.70,219.085,999,134.751,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,Y,1,36,20,25,2,24,398.7331
50030,0.000,3.000,3.000,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,444.68,20,25,2,3,"FT ",148.2271,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,444.68,889.36,6.000,999,2.166,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,48,20,21,7,29,0.0000
50031,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",266.3624,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,1775.84,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,25,20,15,7,1,0.0000
50032,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",325.5047,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,11799.53,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,19,20,14,3,13,0.0000
50033,0.000,2.250,2.250,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1159.76,20,25,2,3,"FT ",515.4500,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,1159.76,2319.52,4.500,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,36,20,23,6,19,0.0000
50034,0.000,19.750,17.000,6.334,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10326.96,20,25,2,3,"FT ",522.8839,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,10326.96,20653.92,39.500,999,2.750,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,32,20,24,3,5,0.0000
50035,0.000,167.583,128.500,7.583,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86866.61,20,25,2,3,"FT ",518.3498,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,94598.32,182242.46,351.582,999,53.999,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,36,20,24,2,29,0.0000
50037,0.000,3.083,3.083,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86.54,20,25,2,3,"FT ",28.0707,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,86.54,173.08,6.166,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,35,20,13,12,19,0.0000
50038,0.000,1074.837,1531.671,0.000,403.999,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58249.93,20,25,2,3,"FT ",52.9334,0.0000,N,0.0000,0,0,0,0,22,0.000,0.000,10875.83,21078.25,399.086,999,297.915,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,Y,0,21,20,25,3,25,52.0564
50039,0.000,203.251,173.751,23.751,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18528.79,20,25,2,3,"FT ",91.1621,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,19060.54,37589.33,412.335,999,63.667,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,23,20,22,8,1,0.0000
