BDRECD,BDDIST,BDPONO,BDLINE,BDRLIN,BDCOMP,BDVNDR,BDTYPE,BDITEM,BDCRTD,BDWDTH,BDLNTH,BDDSPW,BDDSPL,BDWGTF,BDUNTW,BDCLS3,BDSBCL,BDICOD,BDTCOD,BDDEXP,BDCSMO,BDONOM,BDOMIN,BDOMAX,BDMSCD,BDEQYN,BDEQPD,BDOOQ,BDOUOM,BDOQOO,BDIUOM,BDTACD,BDCQTY,BDQUOM,BDCQOO,BDTLB,BDTPC,BDTFT,BDTSFT,BDTMTR,BDTKG,BDTIQR,BDSQTY,BDMCST,BDCUOM,BDEMCS,BDFCST,BDFUOM,BDEFCS,BDECST,BDEUOM,BDEECS,BDEACS,BDEWCS,BDSMD,BDSMAN,BDCDIS,BDCUST,BDLOD,BDLOR#,BDLTYP,BDMLIN,BDULIN,BDRESV,BDRIV,BDPOCC,BDPOYY,BDPOMM,BDPODD,BDPRCC,BDPRYY,BDPRMM,BDPRDD,BDRPCC,BDRPYY,BDRPMM,BDRPDD,BDRLCC,BDRLYY,BDRLMM,BDRLDD,BDSHCC,BDSHYY,BDSHMM,BDSHDD,BDEACC,BDEAYY,BDEAMM,BDEADD,BDINTR,BDADCH,BDWOCH,BDVQTY,BDVUOM,BDRCCC,BDRCYY,BDRCMM,BDRCDD,BDCNCC,BDCNYY,BDCNMM,BDCNDD,BDRCBY,BDINBY,BDRPC,BDFRTR,BDFRV,BDBOL,BDCWGT,BDRCV,BDMILL,BDVESL,BDVOYG,BDCTRY,BDPORT,BDBDIS,BDBTCH,BDPRCD,BDASTS,BDOBOL,BDSPEC,BDXSEL,BDXAMT,BDXCEQ,BDXEEC,BDXCFR,BDXEFC,BDPFXF,BDXEAC,BDXEWC,BDXECC,BDXEYY,BDXEMM,BDXEDD,BDPPCT,BDRPGM,BDFIRM,BDACKN,BDIDST,BDFRTF,BDLDST,BDLOAD,BDDDTC,BDTRCK,BDTRDT,BDCRE,BDTRF,BDCEN,BDFLG1,BDFLG2,BDTOLP,BDTOLM,BDALOY,BDTEMP,BDMORD,BDBLNK,BDBLIN,BDREL#,BDRDAT,BDQQTY,BDINUS,BDFLG3,BDFLG4
C,1,500040,2,0,1,114,M,50076,"4.500 2.962 .769 4130 P110 QT      ",0.0000,240.0000,"         ","20/24'RL ",2.55357158,0.000,ATH,"        ",F,T,I,"STB02                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",633.334,"LB ",633.334,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,633.333,0.000,1.2300,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,22,0,0,0,0,N,N,N,0.000,"   ",20,13,10,24,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,1,1,20131024,0.000," "," "," "
C,1,500034,2,0,1,114,M,50078,"4.500 3.250 .625 4130 LN80 QT      ",0.0000,240.0000,"         ",19/24'R/L,2.15550072,0.000,ATH,"        ",F,T,I,"STB01                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",411.334,"LB ",411.334,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,411.333,0.000,1.2800,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,22,0,0,0,0,N,N,N,0.000,"   ",20,13,10,24,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,1,1,20131024,0.000," "," "," "
A,1,500669,1,0,1,231,B,BOBAR,"1.5000 ROUND BAR                   ",0.0000,240.0000,"         ","240.00   ",0.50010000,0.000,ABH,"        ",W,T,I,"DEFAULT                            ",0.0000,0.0000,0.0000,"                                   ",N,"               ",120.024,"LB ",120.024,"LB ",A,120.024,"LB ",120.024,120.024,1.000,20.000,0.001,6.096,54.443,0.000,0.000,1.1500,"LB ",138.03,0.0000,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,1,1,1,112,1,800434,B,1,0,0.000,0,20,14,1,16,20,14,1,16,20,14,1,16,20,0,0,0,20,0,0,0,0,0,0,0,N," ",N,0.000,"   ",0,0,0,0,0,0,0,0,"               ","               "," ",1,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," "," ","               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y," ",0," ",0,0," "," "," "," ","               ","               "," "," ",10,3,"        ","      ","            "," ",0,0,0,0.000," "," "," "
A,1,500826,1,0,1,115,B,BTUBE,"13.0000 OD 8.0000 ID 2.5000 WALL   ",0.0000,5.5000,"     .000","    5.500",23.36290110,0.000,ATH,"        ",W,T,I,"DEFAULT                            ",0.0000,0.0000,0.0000,"                                   ",N,"               ",642.480,"LB ",642.480,"LB ",A,642.480,"LB ",642.480,642.480,5.000,2.292,0.001,0.699,291.427,0.000,0.000,1840.0000,LOT,1840.00,0.0100,CWT,0.06,0.0000,"   ",0.00,0.00,0.00,1,3,1,144,1,800977,B,1,0,0.000,0,20,14,3,10,20,14,3,11,20,14,3,11,20,0,0,0,20,0,0,0,0,0,0,0,N," ",N,0.000,"   ",0,0,0,0,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," "," ","               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y," ",0," ",0,0," "," "," "," ","               ","               "," "," ",10,3,"        ","      ","            "," ",0,0,0,0.000," "," "," "
A,1,501205,1,0,1,219,B,BTUBE,"13.000 OD 5.750 ID 3.625 WALL      ",0.0000,50.5000,"     .000","   50.500",30.24661303,0.000,ATH,"        ",W,T,I,"DEFAULT                            ",0.0000,0.0000,0.0000,"                                   ",N,"               ",7637.270,"LB ",7637.270,"LB ",A,7637.270,"LB ",7637.270,7637.270,5.000,21.042,0.001,6.414,3464.243,0.000,0.000,0.0100,LOT,0.01,0.0000,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,1,1,1,102,1,802555,B,1,0,0.000,0,20,14,6,19,20,14,6,19,20,14,6,19,20,0,0,0,20,0,0,0,0,0,0,0,N," ",N,0.000,"   ",0,0,0,0,0,0,0,0,"               ","               "," ",1,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," "," ","               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y," ",0," ",0,0," "," "," "," ","               ","               "," "," ",10,3,"        ","      ","            "," ",0,0,0,0.000," "," "," "
A,1,0,1,0,1,231,B,BOBAR,"2.000 ROUND BAR                    ",0.0000,240.0000,"     .000","  240.000",0.88907280,0.000,ABH,"        ",W,T,I,"DEFAULT                            ",0.0000,0.0000,0.0000,"4130 80 KSI                        ",N,"               ",1066.887,"LB ",1066.887,"LB ",A,1066.887,"LB ",1066.887,1066.887,5.000,100.000,0.001,30.480,483.937,0.000,0.000,1.2000,"LB ",1280.26,0.0000,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,1,1,1,102,1,805819,B,1,0,1066.887,0,20,14,11,11,20,21,10,8,20,21,10,8,0,0,0,0,0,0,0,0,0,0,0,0,N," ",N,0.000,"   ",0,0,0,0,0,0,0,0,"               ","               "," ",1,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," "," ","               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",N," ",0," ",0,0,Y," "," "," ","               ","               "," "," ",10,3,"        ","      ","            "," ",0,0,0,0.000," "," "," "
C,1,502888,1,0,1,219,B,BTUBE,"8.400 OD 6.940 ID .730 WALL        ",0.0000,108.5000,"     .000","  108.500",4.98328455,0.000,ATH,"        ",W,T,I,"DEFAULT                            ",0.0000,0.0000,0.0000,"4130M Q&T LN80                     ",N,"               ",262.969,"LB ",262.969,"LB ",A,262.969,"LB ",0.000,262.969,3.000,27.125,0.001,8.268,119.282,1622.000,0.000,0.0100,LOT,0.01,0.0000,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,1,1,1,189,1,813090,B,1,0,262.969,0,20,16,2,26,20,16,2,26,20,16,2,26,0,0,0,0,0,0,0,0,0,0,0,0,N," ",N,0.000,"   ",20,22,11,10,0,0,0,0,"               ","               "," ",1,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," "," ","               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y," ",0," ",0,0," "," "," "," ","               ","               "," "," ",10,3,"        ","      ","            "," ",0,0,0,0.000," "," "," "
C,1,503420,1,0,1,219,B,BTUBE,"8.310 OD 7.755 ID .277 WALL        ",0.0000,122.7500,"     .000","  122.750",1.98386074,0.000,ATH,"        ",W,T,I,"DEFAULT                            ",0.0000,0.0000,0.0000,"                                   ",N,"               ",27.784,"EA ",27.784,"LB ",A,2.000,"EA ",0.000,27.784,2.000,20.458,0.001,6.236,12.603,486.000,0.000,0.0100,"NC ",0.00,0.0000,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,1,1,1,189,1,815838,B,1,0,27.784,0,20,16,8,1,20,16,8,1,20,16,8,1,0,0,0,0,0,0,0,0,0,0,0,0," "," ",N,0.000,"   ",20,22,11,10,0,0,0,0,"               ","               "," ",1,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," "," ","               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y," ",0," ",0,0," "," "," "," ","               ","               "," "," ",10,3,"        ","      ","            "," ",0,0,0,0.000," "," "," "
C,1,504957,1,0,1,521,B,BTUBE,"8.125 OD 7.375 ID .375 WALL        ",0.0000,443.0000,"     .000","443      ",5.07956000,0.000,ATH,"        ",W,T,I,"DEFAULT                            ",0.0000,0.0000,0.0000,"                                   ",N,"               ",4500.490,"EA ",4500.490,"LB ",A,2.000,"EA ",0.000,4500.490,2.000,73.833,0.001,22.504,2041.409,1145.000,0.000,1450.0000,"NT ",3262.86,0.0100,CWT,0.45,0.0000,"   ",0.00,0.00,0.00,1,8,1,286,1,824253,B,1,0,4500.490,0,20,17,4,19,20,17,4,20,20,17,4,20,0,0,0,0,20,17,4,20,0,0,0,0," "," ",N,0.000,"   ",20,22,12,28,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," "," ","               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y," ",0," ",0,0," "," "," "," ","               ","               "," "," ",10,3,"        ","      ","            "," ",0,0,0,0.000," "," "," "
C,1,507615,1,0,1,167,B,BOBAR,".500 ROUND BAR                     ",0.0000,144.0000,"     .000","  144.000",0.05556705,0.000,ABH,"        ",W,T,I,"DEFAULT                            ",0.0000,0.0000,0.0000,"316                                ",N,"               ",0.021,"LB ",0.021,"LB ",A,0.021,"LB ",0.000,0.021,2.000,24.000,0.001,7.315,0.010,16.000,0.000,150.0000,LOT,150.00,0.0100,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,1,1,1,679,1,841527,B,1,0,0.021,0,20,18,6,25,20,18,6,26,20,18,6,26,0,0,0,0,20,18,6,27,0,0,0,0,N," ",N,0.000,"   ",20,22,11,15,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y," ",0," ",0,0," "," "," "," ","               ","               "," "," ",10,3,"        ","      ","            "," ",0,0,0,0.000," "," "," "
