GLRECD,GLCOMP,GLDIST,GLAPPL,GLPERD,GLPPYY,GLCSTC,GLCRDB,GLACCT,GLAMT,GLPCC,GLPYY,GLPMM,GLPDD,GLSYY,GLSMM,GLSDD,GLDESC,GLBDIS,GLBTCH,GLREF,GLRPTY,GLRP#,GLEXDT,GLEXTM,GLPGM,GLDSP,GLUSER,GLTIME,GLTRNT,GLTYPE,GLTRDS,GLTRN#,GLMLIN,GLCDIS,GLCUST,GLAPTR,GLLOCK,GLRFCC,GLRFYY,GLRFMM,GLRFDD,GLAMTQ,GLREF_CLEAN,GLREF_REV
E,1,1,IU,1,18,0,C,1501000000,964.50,20,18,1,3,18,1,3,"K & B INDUSTRIES                   ",0,0,"50714          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112110,OE," ",1,833692,1,1,195,0,0,0,0,0,0,-964.50,50714,41705
E,1,1,IU,1,18,0,D,1503000000,964.50,20,18,1,3,18,1,3,"K & B INDUSTRIES                   ",0,0,"50714          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112110,OE," ",1,833692,1,1,195,0,0,0,0,0,0,964.50,50714,41705
E,1,1,IU,1,18,0,D,1501000000,140.03,20,18,1,3,18,1,3,"K & B INDUSTRIES                   ",0,0,"50714          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112110,OE," ",1,833692,1,1,195,0,0,0,0,0,0,140.03,50714,41705
E,1,1,IU,1,18,0,C,1503000000,140.03,20,18,1,3,18,1,3,"K & B INDUSTRIES                   ",0,0,"50714          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112110,OE," ",1,833692,1,1,195,0,0,0,0,0,0,-140.03,50714,41705
E,1,1,IU,1,18,0,C,1501000000,296.81,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50831          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112229,OE," ",1,833660,1,1,286,0,0,0,0,0,0,-296.81,50831,13805
E,1,1,IU,1,18,0,D,1503000000,296.81,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50831          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112229,OE," ",1,833660,1,1,286,0,0,0,0,0,0,296.81,50831,13805
E,1,1,IU,1,18,0,D,1501000000,19.71,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50831          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112229,OE," ",1,833660,1,1,286,0,0,0,0,0,0,19.71,50831,13805
E,1,1,IU,1,18,0,C,1503000000,19.71,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50831          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112229,OE," ",1,833660,1,1,286,0,0,0,0,0,0,-19.71,50831,13805
E,1,1,IU,1,18,0,C,1501000000,4084.37,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50293          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112328,OE," ",1,833225,1,1,286,0,0,0,0,0,0,-4084.37,50293,39205
E,1,1,IU,1,18,0,D,1503000000,4084.37,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50293          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112328,OE," ",1,833225,1,1,286,0,0,0,0,0,0,4084.37,50293,39205
E,1,1,IU,1,18,0,D,1501000000,20.10,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50293          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112328,OE," ",1,833225,1,1,286,0,0,0,0,0,0,20.10,50293,39205
E,1,1,IU,1,18,0,C,1503000000,20.10,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50293          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112328,OE," ",1,833225,1,1,286,0,0,0,0,0,0,-20.10,50293,39205
E,1,1,IU,1,18,0,C,1501000000,983.27,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50162          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112417,OE," ",1,833223,1,1,286,0,0,0,0,0,0,-983.27,50162,26105
E,1,1,IU,1,18,0,D,1503000000,983.27,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50162          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112417,OE," ",1,833223,1,1,286,0,0,0,0,0,0,983.27,50162,26105
E,1,1,IU,1,18,0,D,1501000000,7.72,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50162          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112417,OE," ",1,833223,1,1,286,0,0,0,0,0,0,7.72,50162,26105
E,1,1,IU,1,18,0,C,1503000000,7.72,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50162          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112417,OE," ",1,833223,1,1,286,0,0,0,0,0,0,-7.72,50162,26105
E,1,1,IU,1,18,0,C,1501000000,54.58,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50174          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,832889,1,1,286,0,0,0,0,0,0,-54.58,50174,47105
E,1,1,IU,1,18,0,D,1503000000,54.58,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50174          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,832889,1,1,286,0,0,0,0,0,0,54.58,50174,47105
E,1,1,IU,1,18,0,D,1501000000,136.49,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50174          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,832889,1,1,286,0,0,0,0,0,0,136.49,50174,47105
E,1,1,IU,1,18,0,C,1503000000,136.49,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50174          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,832889,1,1,286,0,0,0,0,0,0,-136.49,50174,47105
E,1,1,IU,1,18,0,C,1501000000,483.70,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50174          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,832889,1,1,286,0,0,0,0,0,0,-483.70,50174,47105
E,1,1,IU,1,18,0,D,1503000000,483.70,20,18,1,3,18,1,3,"OLYMPIAN MACHINE LLC               ",0,0,"50174          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,832889,1,1,286,0,0,0,0,0,0,483.70,50174,47105
E,1,1,IU,1,18,0,C,1501000000,677.95,20,18,1,3,18,1,3,"PACKERS PLUS                       ",0,0,"50223          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,833490,1,1,223,0,0,0,0,0,0,-677.95,50223,32205
E,1,1,IU,1,18,0,D,1503000000,677.95,20,18,1,3,18,1,3,"PACKERS PLUS                       ",0,0,"50223          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,833490,1,1,223,0,0,0,0,0,0,677.95,50223,32205
E,1,1,IU,1,18,0,C,1501000000,956.12,20,18,1,3,18,1,3,"PACKERS PLUS                       ",0,0,"50223          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,833490,1,1,223,0,0,0,0,0,0,-956.12,50223,32205
E,1,1,IU,1,18,0,D,1503000000,956.12,20,18,1,3,18,1,3,"PACKERS PLUS                       ",0,0,"50223          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,833490,1,1,223,0,0,0,0,0,0,956.12,50223,32205
E,1,1,IU,1,18,0,C,1501000000,952.93,20,18,1,3,18,1,3,"PACKERS PLUS                       ",0,0,"50223          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,833490,1,1,223,0,0,0,0,0,0,-952.93,50223,32205
E,1,1,IU,1,18,0,D,1503000000,952.93,20,18,1,3,18,1,3,"PACKERS PLUS                       ",0,0,"50223          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,833490,1,1,223,0,0,0,0,0,0,952.93,50223,32205
E,1,1,IU,1,18,0,D,1501000000,188.68,20,18,1,3,18,1,3,"PACKERS PLUS                       ",0,0,"50223          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,833490,1,1,223,0,0,0,0,0,0,188.68,50223,32205
E,1,1,IU,1,18,0,C,1503000000,188.68,20,18,1,3,18,1,3,"PACKERS PLUS                       ",0,0,"50223          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,833490,1,1,223,0,0,0,0,0,0,-188.68,50223,32205
E,1,1,IA,1,18,0,C,1501000000,2839.78,20,18,1,3,18,1,3,"  72056                            ",1,21771,"51243          "," ",0,20180221,105251,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,0,0,-2839.78,51243,34215
E,1,1,IA,1,18,0,D,4101400000,2839.78,20,18,1,3,18,1,3,"  72056                            ",1,21771,"51243          "," ",0,20180221,105253,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,0,0,2839.78,51243,34215
E,1,1,IA,1,18,0,D,1501000000,615.56,20,18,1,3,18,1,3,"  72057                            ",1,21771,"51243          "," ",0,20180221,105251,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,0,0,615.56,51243,34215
E,1,1,IA,1,18,0,C,4101400000,615.56,20,18,1,3,18,1,3,"  72057                            ",1,21771,"51243          "," ",0,20180221,105253,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,0,0,-615.56,51243,34215
E,1,1,IA,1,18,0,D,1501000000,2224.21,20,18,1,3,18,1,3,"  72058                            ",1,21771,"51243          "," ",0,20180221,105251,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,0,0,2224.21,51243,34215
E,1,1,IA,1,18,0,C,4101400000,2224.21,20,18,1,3,18,1,3,"  72058                            ",1,21771,"51243          "," ",0,20180221,105253,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,0,0,-2224.21,51243,34215
E,1,1,CD,1,18,0,C,1001100000,100630.13,20,18,1,2,18,1,3,"STB HOLDINGS                       ",0,4365,"       99000225",V,209,20180221,105240,"AP856     ",CSTEWARTA1,"CSTEWART  ",113529,"  "," ",0,0,0,0,0,0,0,20,18,1,2,-100630.13,"       99000225",52200099
E,1,1,CD,1,18,0,D,2001100000,100630.13,20,18,1,2,18,1,3,"STB HOLDINGS                       ",0,4365,"       99000225",V,209,20180221,105241,"AP856     ",CSTEWARTA1,"CSTEWART  ",113529,"  "," ",0,0,0,0,0,0,0,20,18,1,2,100630.13,"       99000225",52200099
E,1,1,IU,1,18,0,C,1501000000,2244.31,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50144          "," ",0,20180221,105303,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113623,OE," ",1,833051,1,1,189,0,0,0,0,0,0,-2244.31,50144,44105
E,1,1,IU,1,18,0,D,1503000000,2244.31,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50144          "," ",0,20180221,105305,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113623,OE," ",1,833051,1,1,189,0,0,0,0,0,0,2244.31,50144,44105
E,1,1,IU,1,18,0,D,1501000000,4.71,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50144          "," ",0,20180221,105303,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113623,OE," ",1,833051,1,1,189,0,0,0,0,0,0,4.71,50144,44105
E,1,1,IU,1,18,0,C,1503000000,4.71,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50144          "," ",0,20180221,105305,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113623,OE," ",1,833051,1,1,189,0,0,0,0,0,0,-4.71,50144,44105
