IOITEM_ItemNumber,IOBPRC_BasePrice
50405,1.8500
50406,2.0500
50407,1.8000
50408,2.2500
50409,1.8000
50410,2.0000
50411,2.0000
50412,1.9500
50413,0.0000
50414,1.8500
50415,0.0000
50416,0.0000
50417,1.5000
50418,0.0000
50419,0.0000
50420,0.0000
50421,2.2500
50422,1.6000
50423,3.2000
50424,2.4500
50425,1.9000
50426,1.9500
50427,1.8000
50428,2.0000
50429,0.0000
50430,2.0000
50431,1.0000
50432,0.0000
50433,1.9500
50434,1.0800
50436,0.0000
50437,0.0000
50438,2.0000
50439,0.0000
50440,0.0000
50441,1.8500
50442,0.0000
50443,1.6500
50444,1.5000
50445,0.0000
50446,1.8000
50447,1.9000
50449,2.2500
50450,1.5500
50451,2.2500
50452,2.7500
50453,2.2500
50454,2.4000
50455,2.0000
50456,2.2500
50457,2.0000
50458,1.8500
50459,0.0000
50460,0.0000
50461,1.5600
50462,2.0000
50463,3.6900
50464,0.0000
50465,0.0000
50466,2.2500
50467,1.5000
50468,0.0000
50469,2.2500
50471,0.0000
50472,0.0000
50473,3.9500
50475,0.0000
50476,0.0000
50477,2.1000
50478,2.1000
50479,1.6500
50480,1.6000
50481,2.4000
50482,2.4500
50484,0.0000
50485,1.6500
50488,2.2500
50489,0.0000
50490,2.2500
50491,3.0000
50492,2.2500
50493,2.2500
50494,0.0000
50496,2.0000
50497,0.0000
50498,0.0000
50499,2.9000
50500,2.2500
50501,2.3000
50502,1.8500
50503,2.3000
50504,0.0000
50505,1.5000
50507,0.8400
50508,0.0000
50509,2.0500
50510,0.0000
50511,0.0000
50512,2.2500
50513,2.2000
50515,1.8800
50516,0.0000
50517,2.2500
50518,0.0000
50519,0.0000
50520,1.5500
50521,0.0000
50522,1.9000
50523,2.2500
50524,2.1000
50525,2.0000
50526,1.8500
50527,0.0000
50528,1.8000
50529,2.5000
50532,0.0000
50533,0.0000
50534,1.6500
50535,2.0000
50536,1.9300
50537,3.9500
50538,1.8500
50539,1.6100
50540,0.0000
50541,0.0000
50542,0.0000
50543,2.2500
50544,1.8300
50546,2.2500
50547,0.0000
50548,0.9400
50549,0.9000
50550,0.9400
50551,0.9000
50553,0.0000
50554,3.9500
50556,0.0000
50557,0.0000
50558,0.0000
50559,0.0000
50560,0.0000
50561,1.5500
50562,0.0000
50563,1.6800
50564,2.2500
50568,2.5000
50569,2.0500
50570,2.2000
50571,2.0000
50572,2.6000
50573,2.2500
50574,0.0000
50575,0.0000
50576,0.0000
50577,1.6500
50578,1.5500
50579,0.0000
50581,0.0000
50582,0.0000
50583,2.0000
50584,0.0000
50585,0.0000
50586,0.9400
50587,1.8500
50588,2.2500
50589,1.6000
50591,1.5000
50592,2.2500
50593,2.2500
50594,2.2500
50595,2.0000
50596,1.8500
50597,1.6900
50598,2.2500
50599,2.2500
50600,3.0000
50601,2.2500
50602,1.8500
50603,2.3000
50604,2.5000
50605,2.7000
50606,5.6900
50607,1.9000
50608,1.8000
50609,2.2500
50611,0.0000
50612,0.0000
50613,1.3000
50614,2.6000
50615,2.2500
50616,1.9200
50617,2.4500
50618,1.5500
50619,1.7500
50620,2.0000
50621,0.0000
50622,2.2500
50623,0.0000
50624,2.2500
50625,2.2500
50627,3.4600
50628,0.0000
50629,0.0000
50630,2.1000
50631,3.6900
50632,0.0000
50633,2.2500
50634,2.2500
50635,3.6900
50636,3.6900
50637,1.5000
50638,0.0000
50640,0.0000
50641,1.8500
50642,0.0000
50643,2.2500
50644,3.8400
50645,0.0000
50648,0.0000
50649,2.8000
50650,3.0000
50651,2.6500
50652,1.0000
50653,0.0000
50654,0.0000
50655,0.0000
50656,1.8000
50657,2.9000
50658,2.2500
50659,2.2500
50660,2.0500
50661,0.0000
50662,0.0000
50663,0.0000
50664,1.6000
50665,0.0000
50666,1.6000
50667,1.6000
50668,1.4500
50669,1.4500
50670,1.4500
50671,2.6000
50672,0.0000
50673,3.9000
50674,0.0000
50675,2.2500
50676,0.0000
50678,0.0000
50680,0.0000
50681,0.0000
50682,1.5000
50683,0.0000
50684,3.6000
50685,2.6500
50686,0.0000
50687,0.0000
50688,2.0000
50689,1.5000
50690,0.0000
50691,2.2500
50694,6.3200
50696,1.5000
50697,1.7500
50698,1.1500
50699,1.5000
50700,1.7500
50704,0.0000
50706,0.7500
50707,0.0000
50709,0.0000
50713,1.3500
50714,1.8300
50715,2.2500
50717,0.0000
50718,2.2500
50719,2.1000
50720,0.0000
50721,2.2500
50722,0.0000
50723,1.7300
50724,2.2500
50725,0.0000
50727,1.1500
50728,1.6500
50730,0.0000
50732,0.0000
50733,2.4700
50734,0.0000
50735,2.2500
50736,1.8000
50739,0.9400
50738,0.0000
50740,2.4000
50741,0.0000
50742,1.9500
50743,1.5500
50744,1.8000
50745,0.0000
50749,1.3000
50750,467.4622
50751,0.0000
50752,0.0000
50753,1.6100
50754,3.9500
50755,2.0000
50756,1.0000
50757,2.2500
50758,1.0800
50759,2.0000
50762,0.9400
50763,0.9000
50764,3.6800
50765,2.0000
50766,2.2000
50767,0.0000
50768,0.0000
50769,0.0000
50771,1.0000
50772,2.2500
50773,4.6100
50774,1.2600
50775,0.0000
"MISC ",0.0000
50776,0.0000
50777,1.2400
50778,1.3000
50779,1.0800
50780,0.0000
50782,0.0000
50783,3.7500
50784,0.0000
50785,2.0000
50786,0.0000
50787,2.7500
50788,3.5500
50789,1.5000
50790,2.0000
50791,0.0000
50792,2.2500
50793,2.6500
50794,0.0000
50795,0.0000
50796,0.0000
50797,2.4000
50798,0.0000
50799,0.0000
50800,1.6500
50801,0.0000
50802,0.0000
50804,0.0000
50805,0.0000
50806,0.0000
50807,2.9000
50808,3.7500
50809,0.0000
50810,0.0000
50811,0.0000
50812,0.0000
50813,1.7000
50814,3.6800
50815,0.0000
50816,0.0000
50817,0.0000
50818,0.0000
50819,1.9000
50820,0.0000
50821,1.5000
50822,1.9600
50823,0.0000
50824,1.5000
50825,0.0000
50826,1.8500
50830,0.0000
50831,2.5500
50832,1.4000
50833,1.9000
50834,0.0000
50835,0.0000
50836,4.1000
50837,2.2500
50838,1.5900
50839,2.2500
50840,1.8500
50841,0.0000
50843,0.0000
50844,2.5000
50845,2.2500
50846,0.0000
50847,0.0000
50848,0.0000
50849,0.0000
50850,0.0000
50851,0.0000
50852,1.5000
50853,0.0000
50854,2.2000
50855,0.0000
50856,2.4000
50857,0.0000
50858,2.1000
50859,0.0000
50860,1.3000
50861,0.0000
50862,2.2500
50863,1.8000
50864,1.6100
50866,0.0000
50868,0.0000
50869,1.8000
50870,0.0000
50871,0.0000
50872,0.0000
50873,0.0000
50874,2.2500
50875,2.2500
50876,0.0000
50877,1.7000
50878,1.5000
50879,1.5500
50880,1.3000
50881,2.0500
50882,1.6800
50883,0.0000
50884,1.1500
50885,0.0000
50886,2.7000
50887,2.7500
50888,0.0000
50889,0.0000
50890,0.0000
50891,1.2600
50892,0.0000
50893,2.2500
50894,1.6500
50895,0.0000
50896,0.0000
50897,0.0000
50898,1.9000
50899,2.2500
50900,0.0000
50901,0.0000
50902,0.0000
50903,1.3000
50904,2.2500
50905,0.0000
50906,0.0000
50907,6.6900
50908,0.0000
50909,1.0000
50910,0.0000
50911,2.2500
50912,3.0000
50913,2.2500
50914,1.5000
50915,0.0000
50918,4.8600
50919,1.6200
50920,0.0000
50921,0.0000
50922,0.0000
50923,2.2500
50924,0.0000
50925,1.9000
50926,0.0000
50927,0.0000
50928,1.5500
50929,0.0000
50930,0.0000
50931,2.2500
50932,0.0000
50933,1.8000
50935,0.0000
50936,1.8000
50934,1.7500
50937,1.5500
50938,0.0000
50939,1.9500
50940,0.0000
50941,2.2500
50942,2.2500
50943,0.0000
50944,2.0000
50945,0.0000
50946,3.9500
50947,3.6800
50948,0.0000
50949,2.5000
50950,2.7000
50951,0.0000
50952,2.2500
50953,2.0000
50954,0.0000
50955,0.0000
50956,2.1100
50957,1.9000
50958,2.6000
50959,2.2500
50961,2.0000
50962,2.0000
50963,2.7500
50964,2.0000
50966,1.0000
50967,2.2500
50968,0.0000
50969,0.0000
50970,0.0000
50971,2.5000
50972,0.0000
50973,2.2500
50974,0.0000
50975,0.0000
50976,0.0000
50977,2.5000
50978,0.0000
50979,3.0000
50980,0.0000
50981,1.5000
50982,1.5000
50983,0.0000
50984,1.1500
50985,0.0000
50986,1.5000
50987,0.0000
50988,2.2500
50989,2.2500
50990,1.6000
50991,1.7500
50992,2.3500
50994,2.0000
50995,1.3800
50996,0.0000
50997,2.0000
50998,1.7000
50999,0.0000
51001,0.0000
51002,0.0000
51003,0.0000
51005,0.0000
51006,1.6800
51007,2.5000
51008,0.0000
51009,2.2000
51010,0.0000
51011,0.0000
51012,3.6800
51013,1.5000
51015,2.2500
51014,2.2500
51016,2.2500
51017,2.2500
51019,2.9000
51021,0.0000
51022,2.2500
51020,0.0000
51023,0.0000
51024,2.3500
51026,0.0000
51027,0.0000
51028,0.0000
51029,2.2500
51030,2.0000
51031,1.9500
51032,1.0800
51033,0.0000
51034,0.0000
51035,1.3500
51036,2.2500
51037,0.0000
51038,0.0000
51039,1.0800
51040,0.0000
51041,2.2500
51042,3.2000
51043,1.0800
51044,2.2500
51045,1.3000
51046,1.8000
51047,1.6500
51048,1.7000
51049,0.0000
51050,3.6800
51051,2.0000
51052,0.0000
51053,1.5000
51054,0.9400
51055,0.0000
51056,2.2500
51057,4.0500
51058,0.0000
51059,0.0000
51060,0.0000
51061,0.0000
51062,0.0000
51063,2.0000
51064,0.0000
51065,2.1000
51066,2.0000
51067,0.0000
51068,1.1000
51069,0.0000
51070,2.9000
51071,1.3000
51072,1.0800
51073,2.2500
51074,2.2500
51075,0.0000
51076,2.2500
51077,0.0000
51078,1.7700
51079,0.0000
51080,0.0000
51081,1.3500
51082,0.0000
51083,0.0000
51084,1.9000
51085,1.5000
51086,0.0000
51087,0.0000
51088,0.0000
51089,2.0000
51090,0.0000
51091,0.0000
51092,0.0000
51093,1.3000
51094,0.0000
51095,0.0000
51096,3.2500
51097,2.0000
51098,0.0000
51101,1.8000
51102,2.0000
51103,1.9100
51104,2.0000
51099,1.6000
51105,0.0000
51106,2.2500
51107,1.6900
51108,1.5000
51109,0.0000
51110,1.7500
51111,1.9500
51112,0.0000
51113,0.0000
51114,3.0500
51117,2.7500
51118,1.4800
51120,0.0000
51121,2.6000
51122,2.2500
51123,0.8800
51124,1.1800
51125,2.2500
51126,2.0000
51127,2.2500
51128,1.7500
51129,1.8000
51130,2.2500
51131,0.0000
51132,0.0000
51133,2.0500
51134,1.0200
51135,2.2500
51136,0.0000
51139,0.0000
51140,2.1000
51142,1.7000
51143,1.8000
51144,0.0000
51145,1.8000
51147,1.1500
51148,0.0000
51149,0.0000
51150,0.0000
51151,1.9400
51152,1.4200
51153,2.5500
51154,2.2500
51155,0.0000
51156,0.0000
51157,2.2500
51158,0.0000
51159,0.0000
51160,0.0000
51161,2.2500
51162,26.6300
51163,2.2500
51164,0.0000
51165,1.9000
51168,0.0000
51169,0.0000
51170,1.1500
51171,0.0000
51173,0.0000
