CALCULATED_FOOTAGE_____ITCLFT,Text,55,Distinct: 55,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
COMMENT_LINE1_____ITV302,Text,20842,Distinct: 20842,"                              ,                               ,                               ,                               ,                               ",nvarchar,(MAX),289140,0,211193,0.00%,73.04%,0,4
COMMENT_LINE2_____ITV303,Text,34,Distinct: 34,"                              ,                               ,                               ,                               ,                               ",nvarchar,(MAX),289140,0,289076,0.00%,99.98%,0,4
HEAD_OR_1ST_MIC_READING_____ITMIC1,Text,214,Distinct: 214,"9.5, 1.0, 6.25, 8.0, 11.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Heat_#_____ITHEAT,Text,16558,Distinct: 16558,"4000005870     , 4000008963     , X3161          , 92701/4B       , 985677%T       ",nvarchar,(MAX),289140,0,22,0.00%,0.01%,0,4
Image_Tracer_Seq_____ITITRS,Text,10424,Distinct: 10424,"0.0, 3405.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
ITEM_NUMBER_____ITITEM,Text,2467,Distinct: 2467,"51200, 50172, 50433, 50525, 51099",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
L/M_USER_____ITLMUS,Text,23,Distinct: 23,"          ,           ,           ,           ,           ",nvarchar,(MAX),289140,0,265020,0.00%,91.66%,0,4
List#_____ITLIST,Text,61433,Distinct: 61433,"       , 0133720,        ,        ,        ",nvarchar,(MAX),289140,0,120562,0.00%,41.70%,0,4
Main_Line#_____ITMLIN,Text,49,Distinct: 49,"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Mill_Coil#_____ITV301,Text,15939,Distinct: 15939,"389911                        , 712030                        , B118228292                    , 2042783                       , 496722-D                      ",nvarchar,(MAX),289140,0,68,0.00%,0.02%,0,4
Numeric_Length_____ITLNTH,Text,2131,Distinct: 2131,"3.0, 60.0, 144.0, 23.0, 217.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
