Top_Item_Percentage_____SHTOPP,Category/Code (Low Distinct),7,"0.0 (140957), 1.0 (8676), 2.0 (607), 3.0 (124), 4.0 (21), 5.0 (4), 6.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,3
Unit_Selling_Price_UOM_____SHUUOM,Category/Code (Low Distinct),7,"EA  (64197), IN  (46996), FT  (21917), LOT (11709), NC  (5563), LB  (5), LT  (3)","EA , IN , IN , IN , FT ",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,3
3_POSITION_CLASS_____SHCLS3,Text,24,Distinct: 24,"ABH, ABH, ATH, ATH, ABH",nvarchar,(MAX),150390,0,1,0.00%,0.00%,0,4
Actual_Scrap_Dollars_____SHSCDL,Text,30130,Distinct: 30130,"0.0, 5.96, 0.0, 74.950000000000003, 75.879999999999995",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Actual_Scrap_KGS_____SHSCKG,Text,28951,Distinct: 28951,"42.790999999999997, 0.0, 3.472, 2.1360000000000001, 4.2919999999999998",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Actual_Scrap_LBS_____SHSCLB,Text,31075,Distinct: 31075,"0.0, 5.6369999999999996, 0.0, 10.013, 0.77900000000000003",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
ADDRESS_ONE_____SHADR1,Text,1851,Distinct: 1851,"5820 - 97 STREET                   , 700 WEST PONT DES MOUTON ROAD      , 19255 ALDINE WESTFIELD             , 8330 WEST LITTLE YORK RD           , 1953 GRAND CAILOU RD               ",nvarchar,(MAX),150390,0,19,0.00%,0.01%,0,4
ADDRESS_THREE_____SHADR3,Text,26,Distinct: 26,"                                   ,                                    ,                                    ,                                    ,                                    ",nvarchar,(MAX),150390,0,148025,0.00%,98.43%,0,4
ADDRESS_TWO_____SHADR2,Text,160,Distinct: 160,"                                   ,                                    ,                                    ,                                    ,                                    ",nvarchar,(MAX),150390,0,139512,0.00%,92.77%,0,4
Adjusted_GP%_____SHADPC,Text,11986,Distinct: 11986,"86.650000000000006, 39.939999999999998, -100.0, 16.34, 16.93",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
