COLUMN,TYPE,DISTINCT VALUES,SAMPLE DATA,VALUES INFO (TOP N / RANGE / SINGLE),DB DATA TYPE,DB TYPE DETAILS,TOTAL ROWS,NULL COUNT,WHITESPACE-ONLY COUNT,NUL PCT,WHITESPACE PCT,IS UNIQUE / FLAG,SORTORDER
MAIN_LINE_____ODMLIN,Category/Code (Low Distinct),13,"1.0 (150474), 2.0 (519), 3.0 (155), 4.0 (53), 5.0 (24), 6.0 (7), 7.0 (4), 8.0 (2), 10.0 (1), 11.0 (1)","1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,3
MAX_MIC_READING_____ODMAXM,Category/Code (Low Distinct),9,"0.0 (151233), 16.5 (2), 5.0 (2), 1.0 (1), 10801.0 (1), 16.0 (1), 264.0 (1), 4.25 (1), 47.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,3
MIN_MIC_READING_____ODMINM,Category/Code (Low Distinct),14,"0.0 (151229), 5.0 (2), 110.0 (1), 12.130000000000001 (1), 12.75 (1), 144.0 (1), 16.0 (1), 18.0 (1), 2.75 (1), 264.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,3
NEGOTIATED_SELL_UOM_____ODSUOM,Category/Code (Low Distinct),7,"EA  (64500), IN  (47296), FT  (22009), LOT (11789), NC  (5573), LB  (73), LT  (3)","IN , IN , EA , LOT, IN ",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,3
ORDER_UOM_____ODIUOM,Category/Code (Low Distinct),5,"EA  (78120), IN  (50732), FT  (22380), LB  (7), LT  (4)","IN , EA , EA , EA , EA ",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,3
ORIGINAL_UOM_____ODOUOM,Category/Code (Low Distinct),5,"EA  (133231), IN  (13709), FT  (3694), LB  (69), M   (1)","EA , EA , EA , EA , EA ",nvarchar,(MAX),151243,0,539,0.00%,0.36%,0,3
TOTAL_ADDTL_CHG_SALES_____ODADCS,Category/Code (Low Distinct),5,"0.0 (151239), 0.01 (1), 1100.0 (1), -162.5 (1), 206.47999999999999 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,3
TOTAL_INCL_1_PRICE_FOR_ADDTL__CHRG_____ODMLAC,Category/Code (Low Distinct),5,"0.0 (151239), 0.01 (1), 1150.0 (1), 206.47999999999999 (1), 208.53 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,3
Y/N/1=_1_OR_MORE_1_CHRGS_____ODACF,Category/Code (Low Distinct),3,"N (474), 1 (4), Y (3)"," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,150762,0.00%,99.68%,0,3
Y/N/1=_1_OR_MORE_1_CHRGS_____ODPCF,Category/Code (Low Distinct),3,"1 (33547), N (1550), Y (323)","1,  ,  ,  ,  ",nvarchar,(MAX),151243,0,115823,0.00%,76.58%,0,3
